precinct_key,district_num,area_weight
ADAIR - 000002,3,0.200000
ADAIR - 000002,4,0.800000
ADAIR - 000003,3,1.000000
ADAIR - 000004,3,1.000000
ADAIR - 000005,3,1.000000
ADAIR - 000006,3,1.000000
ADAIR - 000007,3,0.880952
ADAIR - 000007,4,0.119048
ADAIR - 000008,3,1.000000
ADAIR - 000009,3,1.000000
ADAIR - 000010,3,1.000000
ADAIR - 000011,3,1.000000
ANDREW - 000002,10,0.088095
ANDREW - 000002,9,0.911905
ANDREW - 000003,9,1.000000
ANDREW - 000004,9,1.000000
ANDREW - 000005,9,1.000000
ANDREW - 000006,9,1.000000
ANDREW - 000007,9,1.000000
ANDREW - 000008,9,1.000000
ANDREW - 000009,9,1.000000
ANDREW - 000010,9,1.000000
ANDREW - 000011,9,1.000000
ANDREW - 000012,9,1.000000
ANDREW - 000013,9,1.000000
ANDREW - 000014,9,1.000000
ANDREW - 000015,9,1.000000
ANDREW - 000016,9,1.000000
ANDREW - 000017,9,1.000000
ANDREW - 000018,9,1.000000
ANDREW - 000019,9,1.000000
ANDREW - 000020,9,1.000000
ANDREW - 000021,9,1.000000
ATCHISON - 000002,1,1.000000
ATCHISON - 000003,1,1.000000
ATCHISON - 000004,1,1.000000
ATCHISON - 000005,1,1.000000
ATCHISON - 000006,1,1.000000
ATCHISON - 000007,1,1.000000
AUDRAIN - 000502,43,1.000000
AUDRAIN - 000506,43,1.000000
AUDRAIN - 000508,43,1.000000
AUDRAIN - 000510,43,1.000000
AUDRAIN - 000512,43,1.000000
AUDRAIN - 000513,43,1.000000
AUDRAIN - 000545,43,1.000000
AUDRAIN - 000616,43,1.000000
AUDRAIN - 000623,43,1.000000
AUDRAIN - 000632,43,1.000000
AUDRAIN - 000633,43,1.000000
AUDRAIN - 000641,43,1.000000
AUDRAIN - 000642,43,1.000000
AUDRAIN - 000657,43,1.000000
AUDRAIN - 000658,43,1.000000
AUDRAIN - 000667,43,1.000000
BARRY - 000002,158,1.000000
BARRY - 000003,158,1.000000
BARRY - 000004,158,1.000000
BARRY - 000005,158,1.000000
BARRY - 000006,158,1.000000
BARRY - 000007,158,1.000000
BARRY - 000008,158,1.000000
BARRY - 000009,158,1.000000
BARRY - 000010,158,1.000000
BARRY - 000011,158,1.000000
BARRY - 000012,158,1.000000
BARRY - 000013,158,1.000000
BARRY - 000014,158,1.000000
BARRY - 000015,158,1.000000
BARRY - 000016,158,1.000000
BARRY - 000017,158,1.000000
BARRY - 000018,158,1.000000
BARRY - 000019,158,1.000000
BARRY - 000020,158,1.000000
BARRY - 000021,158,1.000000
BARRY - 000022,158,1.000000
BARRY - 000023,158,1.000000
BARTON - 000002,127,1.000000
BARTON - 000003,127,1.000000
BARTON - 000004,127,1.000000
BARTON - 000005,127,1.000000
BARTON - 000006,127,1.000000
BARTON - 000007,127,1.000000
BARTON - 000008,127,1.000000
BARTON - 000009,127,1.000000
BARTON - 000010,127,1.000000
BARTON - 000011,127,1.000000
BARTON - 000012,127,1.000000
BARTON - 000013,127,1.000000
BARTON - 000014,127,1.000000
BARTON - 000015,127,1.000000
BARTON - 000016,127,1.000000
BARTON - 000017,127,1.000000
BATES - 002701,62,1.000000
BATES - 002703,62,1.000000
BATES - 002705,62,1.000000
BATES - 002722,62,1.000000
BATES - 002767,62,1.000000
BATES - 002801,125,1.000000
BATES - 002814,125,1.000000
BATES - 002825,125,1.000000
BATES - 002847,125,1.000000
BATES - 002849,125,1.000000
BATES - 002850,125,1.000000
BATES - 002868,125,1.000000
BATES - 002892,125,1.000000
BATES - 002904,125,1.000000
BATES - 002930,125,1.000000
BENTON - 002612,57,1.000000
BENTON - 002614,57,1.000000
BENTON - 002650,57,1.000000
BENTON - 002723,57,1.000000
BENTON - 002785,57,1.000000
BENTON - 002790,57,1.000000
BENTON - 002793,57,1.000000
BENTON - 002799,57,1.000000
BENTON - 002813,126,0.947619
BENTON - 002813,57,0.052381
BENTON - 002848,57,1.000000
BENTON - 002874,126,1.000000
BENTON - 002895,57,1.000000
BENTON - 002901,57,1.000000
BOLLINGER - 000002,144,1.000000
BOLLINGER - 000003,151,1.000000
BOLLINGER - 000004,151,1.000000
BOLLINGER - 000005,144,1.000000
BOLLINGER - 000006,151,1.000000
BOLLINGER - 000007,151,1.000000
BOLLINGER - 000008,151,1.000000
BOLLINGER - 000009,144,1.000000
BOLLINGER - 000010,144,1.000000
BOLLINGER - 000011,144,1.000000
BOLLINGER - 000012,151,0.845238
BOLLINGER - 000012,144,0.154762
BOLLINGER - 000013,151,1.000000
BOLLINGER - 000014,144,1.000000
BOLLINGER - 000015,151,1.000000
BOONE - 000001,45,1.000000
BOONE - 000001,45,1.000000
BOONE - 000001,45,1.000000
BOONE - 000001,45,0.745238
BOONE - 000001,46,0.254762
BOONE - 000001,45,1.000000
BOONE - 000001,45,1.000000
BOONE - 000001,46,0.142857
BOONE - 000001,45,0.857143
BOONE - 000001,45,0.383333
BOONE - 000001,46,0.616667
BOONE - 000001,45,1.000000
BOONE - 000002,46,1.000000
BOONE - 000002,46,1.000000
BOONE - 000002,46,1.000000
BOONE - 000002,46,1.000000
BOONE - 000002,45,1.000000
BOONE - 000002,46,1.000000
BOONE - 000002,46,1.000000
BOONE - 000002,46,1.000000
BOONE - 000002,46,0.992857
BOONE - 000002,44,0.007143
BOONE - 000002,46,1.000000
BOONE - 000002,47,0.654762
BOONE - 000002,45,0.335714
BOONE - 000002,46,0.009524
BOONE - 000003,46,1.000000
BOONE - 000003,46,1.000000
BOONE - 000003,46,1.000000
BOONE - 000003,45,0.938095
BOONE - 000003,46,0.061905
BOONE - 000003,50,0.047619
BOONE - 000003,46,0.759524
BOONE - 000003,45,0.190476
BOONE - 000003,44,0.002381
BOONE - 000003,46,0.978571
BOONE - 000003,44,0.021429
BOONE - 000004,47,1.000000
BOONE - 000004,47,1.000000
BOONE - 000004,47,1.000000
BOONE - 000004,47,1.000000
BOONE - 000004,47,1.000000
BOONE - 000004,45,1.000000
BOONE - 000004,47,1.000000
BOONE - 000004,47,1.000000
BOONE - 000004,45,1.000000
BOONE - 000004,47,1.000000
BOONE - 000004,47,1.000000
BOONE - 000004,47,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,47,1.000000
BOONE - 000005,50,1.000000
BOONE - 000005,45,1.000000
BOONE - 000005,47,1.000000
BOONE - 000006,45,1.000000
BOONE - 000006,45,1.000000
BOONE - 000006,45,0.819048
BOONE - 000006,50,0.180952
BOONE - 000006,45,0.078571
BOONE - 000006,50,0.919048
BOONE - 000006,44,0.002381
BOONE - 000006,50,0.830952
BOONE - 000006,45,0.169048
BOONE - 000006,45,1.000000
BOONE - 000006,50,0.978571
BOONE - 000006,45,0.021429
BOONE - 000006,50,0.735714
BOONE - 000006,45,0.261905
BOONE - 000006,44,0.002381
BOONE - 000006,45,1.000000
BOONE - 000007,47,1.000000
BOONE - 000008,47,1.000000
BOONE - 000009,44,1.000000
BOONE - 000010,44,1.000000
BOONE - 000011,44,1.000000
BOONE - 000012,44,1.000000
BOONE - 000014,47,1.000000
BOONE - 000015,47,0.557143
BOONE - 000015,44,0.442857
BOONE - 000016,44,1.000000
BOONE - 000017,44,1.000000
BOONE - 000018,47,1.000000
BOONE - 000019,47,1.000000
BOONE - 000020,47,1.000000
BOONE - 000021,47,1.000000
BOONE - 000022,47,0.747619
BOONE - 000022,44,0.202381
BOONE - 000022,46,0.050000
BOONE - 000023,44,0.892857
BOONE - 000023,46,0.107143
BOONE - 000024,44,0.995238
BOONE - 000024,46,0.004762
BOONE - 000025,44,1.000000
BOONE - 000026,44,0.935714
BOONE - 000026,50,0.064286
BOONE - 000027,44,1.000000
BOONE - 000028,44,0.895238
BOONE - 000028,50,0.104762
BOONE - 000029,44,1.000000
BOONE - 000030,44,1.000000
BOONE - 000031,44,1.000000
BOONE - 000032,44,1.000000
BOONE - 000033,44,1.000000
BOONE - 000034,50,0.838095
BOONE - 000034,44,0.159524
BOONE - 000034,46,0.002381
BOONE - 000035,44,1.000000
BOONE - 000036,47,0.583333
BOONE - 000036,50,0.416667
BOONE - 000037,47,1.000000
BOONE - 000038,47,1.000000
BOONE - 000039,44,0.659524
BOONE - 000039,47,0.340476
BOONE - 000040,44,0.914286
BOONE - 000040,46,0.085714
BOONE - 000041,44,0.919048
BOONE - 000041,46,0.080952
BOONE - 000042,44,1.000000
BUCHANAN - 000001,10,1.000000
BUCHANAN - 000002,10,1.000000
BUCHANAN - 000003,10,1.000000
BUCHANAN - 000004,10,1.000000
BUCHANAN - 000005,10,1.000000
BUCHANAN - 000006,10,1.000000
BUCHANAN - 000007,10,1.000000
BUCHANAN - 000008,10,0.761905
BUCHANAN - 000008,11,0.238095
BUCHANAN - 000009,10,1.000000
BUCHANAN - 000010,10,1.000000
BUCHANAN - 000011,10,1.000000
BUCHANAN - 000012,11,0.888095
BUCHANAN - 000012,10,0.111905
BUCHANAN - 000013,11,1.000000
BUCHANAN - 000014,11,1.000000
BUCHANAN - 000015,11,0.980952
BUCHANAN - 000015,10,0.019048
BUCHANAN - 000016,11,1.000000
BUCHANAN - 000017,11,1.000000
BUCHANAN - 000018,11,1.000000
BUCHANAN - 000020,11,0.088095
BUCHANAN - 000020,10,0.911905
BUCHANAN - 000021,10,1.000000
BUCHANAN - 000022,11,0.778571
BUCHANAN - 000022,10,0.221429
BUCHANAN - 000023,11,1.000000
BUCHANAN - 000024,11,1.000000
BUCHANAN - 000025,11,1.000000
BUCHANAN - 000026,11,1.000000
BUCHANAN - 000027,13,1.000000
BUCHANAN - 000028,13,1.000000
BUCHANAN - 000029,11,0.961905
BUCHANAN - 000029,13,0.038095
BUCHANAN - 000030,13,1.000000
BUCHANAN - 000031,13,1.000000
BUCHANAN - 000032,13,1.000000
BUCHANAN - 000033,13,1.000000
BUCHANAN - 000034,13,0.966667
BUCHANAN - 000034,11,0.033333
BUCHANAN - 000035,13,1.000000
BUTLER - 000002,152,1.000000
BUTLER - 000003,152,0.940476
BUTLER - 000003,150,0.059524
BUTLER - 000004,150,1.000000
BUTLER - 000005,150,1.000000
BUTLER - 000006,152,1.000000
BUTLER - 000007,152,1.000000
BUTLER - 000008,150,1.000000
BUTLER - 000009,152,0.997619
BUTLER - 000009,150,0.002381
BUTLER - 000010,152,1.000000
BUTLER - 000011,152,1.000000
BUTLER - 000012,150,1.000000
BUTLER - 000013,152,1.000000
BUTLER - 000014,152,1.000000
BUTLER - 000015,150,1.000000
BUTLER - 000016,152,1.000000
BUTLER - 000017,152,1.000000
BUTLER - 000018,152,1.000000
BUTLER - 000019,152,1.000000
BUTLER - 000020,152,1.000000
BUTLER - 000021,152,1.000000
BUTLER - 000022,152,1.000000
BUTLER - 000023,152,0.676190
BUTLER - 000023,150,0.323810
BUTLER - 000024,152,0.440476
BUTLER - 000024,150,0.559524
BUTLER - 000025,152,1.000000
BUTLER - 000026,152,1.000000
CALDWELL - 000277,2,1.000000
CALDWELL - 000280,2,1.000000
CALDWELL - 000281,2,1.000000
CALDWELL - 000284,2,1.000000
CALDWELL - 000353,2,1.000000
CALDWELL - 000356,2,1.000000
CALDWELL - 000357,2,1.000000
CALDWELL - 000358,2,1.000000
CALDWELL - 000389,2,1.000000
CALDWELL - 000390,2,1.000000
CALLAWAY - 000826,43,0.840476
CALLAWAY - 000826,49,0.159524
CALLAWAY - 000828,43,1.000000
CALLAWAY - 000839,43,1.000000
CALLAWAY - 000842,43,1.000000
CALLAWAY - 000998,43,1.000000
CALLAWAY - 001069,43,0.242857
CALLAWAY - 001069,49,0.757143
CALLAWAY - 001081,49,0.659524
CALLAWAY - 001081,43,0.340476
CALLAWAY - 001083,49,0.659524
CALLAWAY - 001083,43,0.340476
CALLAWAY - 001189,49,0.902381
CALLAWAY - 001189,43,0.097619
CALLAWAY - 001190,49,0.923810
CALLAWAY - 001190,43,0.076190
CALLAWAY - 001271,49,1.000000
CALLAWAY - 001272,49,1.000000
CALLAWAY - 001292,49,1.000000
CALLAWAY - 001297,49,1.000000
CALLAWAY - 001306,49,1.000000
CALLAWAY - 001350,49,1.000000
CALLAWAY - 001351,49,1.000000
CALLAWAY - 001438,49,1.000000
CALLAWAY - 001479,49,1.000000
CALLAWAY - 001543,49,1.000000
CALLAWAY - 001584,49,1.000000
CALLAWAY - 001595,49,1.000000
CALLAWAY - 001763,49,1.000000
CALLAWAY - 001843,49,1.000000
CALLAWAY - 001989,49,1.000000
CALLAWAY - 001991,49,1.000000
CAMDEN - 000002,123,1.000000
CAMDEN - 000003,123,0.964286
CAMDEN - 000003,142,0.035714
CAMDEN - 000004,123,1.000000
CAMDEN - 000005,123,1.000000
CAMDEN - 000006,123,1.000000
CAMDEN - 000007,123,1.000000
CAMDEN - 000008,123,1.000000
CAMDEN - 000009,123,1.000000
CAMDEN - 000010,142,1.000000
CAMDEN - 000011,123,1.000000
CAMDEN - 000012,123,1.000000
CAMDEN - 000013,123,1.000000
CAMDEN - 000014,142,1.000000
CAMDEN - 000015,123,1.000000
CAMDEN - 000016,123,1.000000
