precinct_key,district_num,area_weight,block_weight,precinct_block_weight,is_kansas_city,election_county,election_county_aliases
JACKSON - 000002,19,0.0121951220,1.0000000000,82.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000002,21,0.9878048780,81.0000000000,82.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000003,20,0.9577464789,68.0000000000,71.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000003,21,0.0422535211,3.0000000000,71.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000006,20,1.0000000000,13.0000000000,13.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000007,20,1.0000000000,17.0000000000,17.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000008,19,1.0000000000,20.0000000000,20.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000010,21,1.0000000000,34.0000000000,34.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000015,20,0.9666666667,29.0000000000,30.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000015,39,0.0333333333,1.0000000000,30.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000016,20,1.0000000000,47.0000000000,47.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000017,20,1.0000000000,22.0000000000,22.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000019,20,1.0000000000,32.0000000000,32.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000020,20,0.7600000000,19.0000000000,25.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000020,21,0.2400000000,6.0000000000,25.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000022,20,1.0000000000,53.0000000000,53.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000023,20,1.0000000000,21.0000000000,21.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000024,20,0.0937500000,3.0000000000,32.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000024,21,0.9062500000,29.0000000000,32.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000025,21,1.0000000000,21.0000000000,21.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000026,21,1.0000000000,62.0000000000,62.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000029,20,1.0000000000,20.0000000000,20.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000030,32,1.0000000000,24.0000000000,24.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000031,20,0.2826086957,13.0000000000,46.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000031,32,0.7173913043,33.0000000000,46.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000032,20,0.8918918919,33.0000000000,37.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000032,32,0.1081081081,4.0000000000,37.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000033,20,0.7272727273,8.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000033,32,0.1818181818,2.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000033,39,0.0909090909,1.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000034,20,1.0000000000,36.0000000000,36.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000035,20,1.0000000000,23.0000000000,23.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000036,20,1.0000000000,28.0000000000,28.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000037,20,1.0000000000,23.0000000000,23.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000043,21,1.0000000000,25.0000000000,25.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000044,21,1.0000000000,41.0000000000,41.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000045,21,1.0000000000,63.0000000000,63.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000047,21,1.0000000000,16.0000000000,16.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000050,21,1.0000000000,43.0000000000,43.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000052,22,1.0000000000,20.0000000000,20.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000054,29,1.0000000000,24.0000000000,24.0000000000,0,JACKSON,JACKSON|KANSAS CITY
