precinct_key,district_num,area_weight,block_weight,precinct_block_weight,is_kansas_city,election_county,election_county_aliases
ADAIR - 000002,6,1.0000000000,93.0000000000,93.0000000000,0,ADAIR,ADAIR
ADAIR - 000003,6,1.0000000000,59.0000000001,59.0000000001,0,ADAIR,ADAIR
ADAIR - 000004,6,1.0000000000,111.0000000000,111.0000000000,0,ADAIR,ADAIR
ADAIR - 000005,6,1.0000000000,59.0000000000,59.0000000000,0,ADAIR,ADAIR
ADAIR - 000006,6,1.0000000000,111.0000000000,111.0000000000,0,ADAIR,ADAIR
ADAIR - 000007,6,1.0000000000,48.9999999999,48.9999999999,0,ADAIR,ADAIR
ADAIR - 000008,6,1.0000000000,43.9999999999,43.9999999999,0,ADAIR,ADAIR
ADAIR - 000009,6,1.0000000000,228.0000000000,228.0000000000,0,ADAIR,ADAIR
ADAIR - 000010,6,1.0000000000,211.0000000004,211.0000000004,0,ADAIR,ADAIR
ADAIR - 000011,6,1.0000000000,109.0000000002,109.0000000002,0,ADAIR,ADAIR
ADAIR - 000012,6,1.0000000000,121.0000000000,121.0000000000,0,ADAIR,ADAIR
ADAIR - 000013,6,1.0000000000,119.0000000001,119.0000000001,0,ADAIR,ADAIR
ADAIR - 000014,6,1.0000000000,74.9999999999,74.9999999999,0,ADAIR,ADAIR
ADAIR - 000015,6,1.0000000000,4.0000000000,4.0000000000,0,ADAIR,ADAIR
ADAIR - 000016,6,1.0000000000,82.0000000000,82.0000000000,0,ADAIR,ADAIR
ADAIR - 000017,6,1.0000000000,53.0000000000,53.0000000000,0,ADAIR,ADAIR
ADAIR - 000018,6,1.0000000000,32.0000000000,32.0000000000,0,ADAIR,ADAIR
ANDREW - 000002,6,1.0000000000,45.9999999999,45.9999999999,0,ANDREW,ANDREW
ANDREW - 000003,6,1.0000000000,65.0000000000,65.0000000000,0,ANDREW,ANDREW
ANDREW - 000004,6,1.0000000000,110.0000000001,110.0000000001,0,ANDREW,ANDREW
ANDREW - 000005,6,1.0000000000,30.9999999999,30.9999999999,0,ANDREW,ANDREW
ANDREW - 000006,6,1.0000000000,51.0000000001,51.0000000001,0,ANDREW,ANDREW
ANDREW - 000007,6,1.0000000000,97.0000000001,97.0000000001,0,ANDREW,ANDREW
ANDREW - 000008,6,1.0000000000,62.0000000000,62.0000000000,0,ANDREW,ANDREW
ANDREW - 000009,6,1.0000000000,66.9999999997,66.9999999997,0,ANDREW,ANDREW
ANDREW - 000010,6,1.0000000000,131.0000000001,131.0000000001,0,ANDREW,ANDREW
ANDREW - 000011,6,1.0000000000,56.0000000001,56.0000000001,0,ANDREW,ANDREW
ANDREW - 000012,6,1.0000000000,39.9999999999,39.9999999999,0,ANDREW,ANDREW
ANDREW - 000013,6,1.0000000000,31.0000000000,31.0000000000,0,ANDREW,ANDREW
ANDREW - 000014,6,1.0000000000,68.0000000001,68.0000000001,0,ANDREW,ANDREW
ANDREW - 000015,6,1.0000000000,49.0000000000,49.0000000000,0,ANDREW,ANDREW
ANDREW - 000016,6,1.0000000000,70.9999999998,70.9999999998,0,ANDREW,ANDREW
ANDREW - 000017,6,1.0000000000,92.0000000000,92.0000000000,0,ANDREW,ANDREW
ANDREW - 000018,6,1.0000000000,66.0000000000,66.0000000000,0,ANDREW,ANDREW
ANDREW - 000019,6,1.0000000000,49.9999999997,49.9999999997,0,ANDREW,ANDREW
