precinct_key,district_num,area_weight,block_weight,precinct_block_weight,is_kansas_city,election_county,election_county_aliases
JACKSON - 000002,19,0.0188679245,1.0000000000,53.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000002,21,0.9811320755,52.0000000000,53.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000003,20,1.0000000000,43.0000000001,43.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000004,20,0.9444444444,34.0000000000,36.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000004,21,0.0555555556,2.0000000000,36.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000005,20,1.0000000000,8.0000000000,8.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000006,20,1.0000000000,13.0000000000,13.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000007,20,1.0000000000,22.0000000000,22.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000008,19,1.0000000000,32.0000000000,32.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000009,21,1.0000000000,39.0000000000,39.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000010,21,1.0000000000,40.0000000000,40.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000011,19,0.0333333333,1.0000000000,30.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000011,21,0.9666666667,29.0000000000,30.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000012,21,1.0000000000,49.0000000000,49.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000013,21,1.0000000000,41.0000000000,41.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000014,21,1.0000000000,9.0000000000,9.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000015,20,1.0000000000,50.0000000000,50.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000016,20,1.0000000000,53.0000000000,53.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000017,20,1.0000000000,20.0000000000,20.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000018,21,1.0000000000,20.0000000000,20.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000019,20,1.0000000000,37.0000000000,37.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000020,20,1.0000000000,11.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000021,20,1.0000000000,6.0000000000,6.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000022,20,1.0000000000,30.0000000000,30.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000023,20,1.0000000000,8.0000000000,8.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000024,20,0.5714285714,8.0000000000,14.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000024,21,0.4285714286,6.0000000000,14.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000025,20,1.0000000000,21.0000000000,21.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000026,21,1.0000000000,70.0000000000,70.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000027,21,1.0000000000,23.0000000000,23.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000028,20,1.0000000000,29.0000000000,29.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000029,20,1.0000000000,9.0000000000,9.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000030,32,1.0000000000,29.0000000000,29.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000031,20,0.2964775984,14.2309247213,47.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000031,32,0.6410224016,30.7690752786,47.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000031,39,0.0625000000,3.0000000000,47.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000032,20,0.8095238095,17.0000000000,21.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000032,32,0.1904761905,4.0000000000,21.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000033,20,1.0000000000,28.0000000000,28.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000034,20,1.0000000000,25.0000000000,25.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000035,20,1.0000000000,18.0000000001,18.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000036,20,1.0000000000,11.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000037,20,1.0000000000,43.0000000000,43.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000038,20,1.0000000000,20.0000000000,20.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000039,20,1.0000000000,14.0000000000,14.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000040,21,1.0000000000,17.0000000000,17.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000041,21,1.0000000000,41.0000000000,41.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000042,21,1.0000000000,23.0000000000,23.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000043,21,1.0000000000,14.0000000000,14.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000044,21,1.0000000000,17.0000000000,17.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000045,21,1.0000000000,25.0000000000,25.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000046,21,1.0000000000,36.0000000000,36.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000047,21,1.0000000000,26.0000000000,26.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000048,21,0.9714285714,34.0000000000,35.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000048,22,0.0285714286,1.0000000000,35.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000049,21,1.0000000000,31.0000000000,31.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000050,21,1.0000000000,24.0000000000,24.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000051,21,1.0000000000,34.0000000000,34.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000052,21,0.0588235294,1.0000000000,17.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000052,22,0.9411764706,16.0000000000,17.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000053,21,0.3448275862,10.0000000000,29.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000053,22,0.6551724138,19.0000000000,29.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000054,29,1.0000000000,17.0000000000,17.0000000000,0,JACKSON,JACKSON|KANSAS CITY
