precinct_key,district_num,area_weight,block_weight,precinct_block_weight,is_kansas_city,election_county,election_county_aliases
ADAIR - 000002,18,1.0000000000,388.0000000000,388.0000000000,0,ADAIR,ADAIR
ADAIR - 000003,18,1.0000000000,225.0000000000,225.0000000000,0,ADAIR,ADAIR
ADAIR - 000004,18,1.0000000000,79.0000000000,79.0000000000,0,ADAIR,ADAIR
ADAIR - 000005,18,1.0000000000,76.0000000000,76.0000000000,0,ADAIR,ADAIR
ADAIR - 000006,18,1.0000000000,399.0000000000,399.0000000000,0,ADAIR,ADAIR
ADAIR - 000007,18,1.0000000000,377.0000000000,377.0000000000,0,ADAIR,ADAIR
ADAIR - 000008,18,1.0000000000,153.0000000000,153.0000000000,0,ADAIR,ADAIR
ADAIR - 000009,18,1.0000000000,164.0000000000,164.0000000000,0,ADAIR,ADAIR
ADAIR - 000010,18,1.0000000000,165.0000000000,165.0000000000,0,ADAIR,ADAIR
ADAIR - 000011,18,1.0000000000,8.0000000000,8.0000000000,0,ADAIR,ADAIR
ANDREW - 000002,12,1.0000000000,3.0000000000,3.0000000000,0,ANDREW,ANDREW
ANDREW - 000003,12,1.0000000000,43.0000000000,43.0000000000,0,ANDREW,ANDREW
ANDREW - 000004,12,1.0000000000,88.0000000000,88.0000000000,0,ANDREW,ANDREW
ANDREW - 000005,12,1.0000000000,77.9999999999,77.9999999999,0,ANDREW,ANDREW
ANDREW - 000006,12,1.0000000000,110.0000000000,110.0000000000,0,ANDREW,ANDREW
ANDREW - 000007,12,1.0000000000,123.0000000000,123.0000000000,0,ANDREW,ANDREW
ANDREW - 000008,12,1.0000000000,83.0000000000,83.0000000000,0,ANDREW,ANDREW
ANDREW - 000009,12,1.0000000000,63.0000000000,63.0000000000,0,ANDREW,ANDREW
ANDREW - 000010,12,1.0000000000,83.0000000000,83.0000000000,0,ANDREW,ANDREW
ANDREW - 000011,12,1.0000000000,200.0000000000,200.0000000000,0,ANDREW,ANDREW
ANDREW - 000012,12,1.0000000000,89.0000000002,89.0000000002,0,ANDREW,ANDREW
ANDREW - 000013,12,1.0000000000,120.0000000000,120.0000000000,0,ANDREW,ANDREW
ANDREW - 000014,12,1.0000000000,103.0000000000,103.0000000000,0,ANDREW,ANDREW
ANDREW - 000015,12,1.0000000000,73.0000000000,73.0000000000,0,ANDREW,ANDREW
ANDREW - 000016,12,1.0000000000,137.0000000000,137.0000000000,0,ANDREW,ANDREW
ANDREW - 000017,12,1.0000000000,117.9999999999,117.9999999999,0,ANDREW,ANDREW
ANDREW - 000018,12,1.0000000000,52.0000000000,52.0000000000,0,ANDREW,ANDREW
ANDREW - 000019,12,1.0000000000,119.0000000002,119.0000000002,0,ANDREW,ANDREW
ANDREW - 000020,12,1.0000000000,91.0000000000,91.0000000000,0,ANDREW,ANDREW
ANDREW - 000021,12,1.0000000000,139.0000000000,139.0000000000,0,ANDREW,ANDREW
ATCHISON - 000002,12,1.0000000000,262.0000000000,262.0000000000,0,ATCHISON,ATCHISON
ATCHISON - 000003,12,1.0000000000,126.0000000000,126.0000000000,0,ATCHISON,ATCHISON
ATCHISON - 000004,12,1.0000000000,379.0000000000,379.0000000000,0,ATCHISON,ATCHISON
ATCHISON - 000005,12,1.0000000000,286.0000000000,286.0000000000,0,ATCHISON,ATCHISON
ATCHISON - 000006,12,1.0000000000,167.9999999999,167.9999999999,0,ATCHISON,ATCHISON
ATCHISON - 000007,12,1.0000000000,152.0000000000,152.0000000000,0,ATCHISON,ATCHISON
AUDRAIN - 000502,18,1.0000000000,219.0000000000,219.0000000000,0,AUDRAIN,AUDRAIN
AUDRAIN - 000506,18,1.0000000000,239.9999999999,239.9999999999,0,AUDRAIN,AUDRAIN
AUDRAIN - 000508,18,1.0000000000,286.0000000001,286.0000000001,0,AUDRAIN,AUDRAIN
AUDRAIN - 000510,18,1.0000000000,145.0000000000,145.0000000000,0,AUDRAIN,AUDRAIN
AUDRAIN - 000512,18,1.0000000000,174.0000000001,174.0000000001,0,AUDRAIN,AUDRAIN
AUDRAIN - 000513,18,1.0000000000,567.9999999999,567.9999999999,0,AUDRAIN,AUDRAIN
AUDRAIN - 000545,18,1.0000000000,265.9999999999,265.9999999999,0,AUDRAIN,AUDRAIN
