precinct_key,district_num,area_weight,block_weight,precinct_block_weight,is_kansas_city,election_county,election_county_aliases
ADAIR - 000002,3,0.0215053763,2.0000000000,93.0000000000,0,ADAIR,ADAIR
ADAIR - 000002,4,0.9784946237,91.0000000000,93.0000000000,0,ADAIR,ADAIR
ADAIR - 000003,3,1.0000000000,59.0000000001,59.0000000001,0,ADAIR,ADAIR
ADAIR - 000004,4,1.0000000000,111.0000000000,111.0000000000,0,ADAIR,ADAIR
ADAIR - 000005,3,0.6440677966,38.0000000000,59.0000000000,0,ADAIR,ADAIR
ADAIR - 000005,4,0.3559322034,21.0000000000,59.0000000000,0,ADAIR,ADAIR
ADAIR - 000006,3,1.0000000000,111.0000000000,111.0000000000,0,ADAIR,ADAIR
ADAIR - 000007,3,1.0000000000,48.9999999999,48.9999999999,0,ADAIR,ADAIR
ADAIR - 000008,3,1.0000000000,43.9999999999,43.9999999999,0,ADAIR,ADAIR
ADAIR - 000009,3,1.0000000000,228.0000000000,228.0000000000,0,ADAIR,ADAIR
ADAIR - 000010,3,0.9099526066,192.0000000004,211.0000000004,0,ADAIR,ADAIR
ADAIR - 000010,4,0.0900473934,19.0000000000,211.0000000004,0,ADAIR,ADAIR
ADAIR - 000011,3,1.0000000000,109.0000000002,109.0000000002,0,ADAIR,ADAIR
ADAIR - 000012,3,1.0000000000,121.0000000000,121.0000000000,0,ADAIR,ADAIR
ADAIR - 000013,3,1.0000000000,119.0000000001,119.0000000001,0,ADAIR,ADAIR
ADAIR - 000014,3,0.9466666667,70.9999999999,74.9999999999,0,ADAIR,ADAIR
ADAIR - 000014,4,0.0533333333,4.0000000000,74.9999999999,0,ADAIR,ADAIR
ADAIR - 000015,3,1.0000000000,4.0000000000,4.0000000000,0,ADAIR,ADAIR
ADAIR - 000016,3,1.0000000000,82.0000000000,82.0000000000,0,ADAIR,ADAIR
ADAIR - 000017,3,0.0188679245,1.0000000000,53.0000000000,0,ADAIR,ADAIR
ADAIR - 000017,4,0.9811320755,52.0000000000,53.0000000000,0,ADAIR,ADAIR
ADAIR - 000018,3,0.9687500000,31.0000000000,32.0000000000,0,ADAIR,ADAIR
ADAIR - 000018,4,0.0312500000,1.0000000000,32.0000000000,0,ADAIR,ADAIR
ANDREW - 000002,9,1.0000000000,45.9999999999,45.9999999999,0,ANDREW,ANDREW
ANDREW - 000003,9,1.0000000000,65.0000000000,65.0000000000,0,ANDREW,ANDREW
ANDREW - 000004,9,1.0000000000,110.0000000001,110.0000000001,0,ANDREW,ANDREW
ANDREW - 000005,9,1.0000000000,30.9999999999,30.9999999999,0,ANDREW,ANDREW
ANDREW - 000006,9,1.0000000000,51.0000000001,51.0000000001,0,ANDREW,ANDREW
ANDREW - 000007,9,1.0000000000,97.0000000001,97.0000000001,0,ANDREW,ANDREW
ANDREW - 000008,9,1.0000000000,62.0000000000,62.0000000000,0,ANDREW,ANDREW
ANDREW - 000009,9,1.0000000000,66.9999999997,66.9999999997,0,ANDREW,ANDREW
ANDREW - 000010,9,1.0000000000,131.0000000001,131.0000000001,0,ANDREW,ANDREW
ANDREW - 000011,9,0.9541171498,53.4305603899,56.0000000001,0,ANDREW,ANDREW
