precinct_key,district_num,area_weight,block_weight,precinct_block_weight,is_kansas_city,election_county,election_county_aliases
JACKSON - 000002,19,1.0000000000,16.0000000000,16.0000000000,1,KANSAS CITY,KANSAS CITY|JACKSON
JACKSON - 000003,19,0.0366943836,2.0181910971,55.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000003,21,0.9633056164,52.9818089029,55.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000004,20,1.0000000000,42.0000000001,42.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000005,20,0.9333333333,14.0000000000,15.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000005,21,0.0666666667,1.0000000000,15.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000006,20,1.0000000000,11.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000007,20,1.0000000000,15.0000000000,15.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000008,19,1.0000000000,25.0000000001,25.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000009,21,1.0000000000,43.0000000000,43.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000010,21,1.0000000000,40.0000000000,40.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000011,21,1.0000000000,35.0000000000,35.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000012,21,1.0000000000,42.0000000001,42.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000013,21,1.0000000000,15.0000000000,15.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000014,20,0.9942813250,46.7312222731,46.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000014,39,0.0057186750,0.2687777268,46.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000015,20,1.0000000000,57.0000000002,57.0000000002,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000016,20,1.0000000000,19.0000000000,19.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000017,21,1.0000000000,20.0000000000,20.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000018,20,1.0000000000,39.0000000000,39.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000019,20,1.0000000000,12.0000000000,12.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000020,20,1.0000000000,26.0000000000,26.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000021,20,1.0000000000,6.0000000000,6.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000022,20,1.0000000000,5.0000000000,5.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000023,20,1.0000000000,17.0000000000,17.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000024,21,1.0000000000,67.0000000000,67.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000025,21,1.0000000000,36.0000000000,36.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000026,20,1.0000000000,23.0000000000,23.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000027,20,0.0064554147,0.1936624408,30.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000027,32,0.9935445853,29.8063375592,30.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000028,20,0.4240639834,7.6331517011,18.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000028,32,0.5215041919,9.3870754541,18.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000028,39,0.0544318247,0.9797728448,18.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000029,32,1.0000000000,14.9999999999,14.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000030,20,0.5027396305,5.5301359360,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000030,32,0.4972603695,5.4698640640,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000031,20,1.0000000000,22.0000000000,22.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000032,20,1.0000000000,29.9999999999,29.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000033,20,1.0000000000,18.0000000001,18.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000034,20,0.9090909091,10.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000034,21,0.0909090909,1.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000035,20,1.0000000000,26.9999999998,26.9999999998,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000036,20,1.0000000000,9.0000000000,9.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000037,20,0.4736842105,9.0000000001,19.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000037,21,0.5263157895,10.0000000000,19.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000038,20,1.0000000000,13.0000000001,13.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000039,21,1.0000000000,16.0000000000,16.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000040,21,1.0000000000,51.0000000000,51.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000041,21,1.0000000000,24.0000000000,24.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000042,21,1.0000000000,14.0000000000,14.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000043,21,1.0000000000,15.9999999999,15.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000044,21,1.0000000000,22.0000000000,22.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000045,21,1.0000000000,44.0000000000,44.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000046,21,0.9882352941,84.0000000000,85.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000046,22,0.0117647059,1.0000000000,85.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000047,21,1.0000000000,26.0000000000,26.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000048,21,1.0000000000,31.0000000000,31.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000049,21,1.0000000000,26.0000000000,26.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000050,19,0.0022378723,0.0268544681,11.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000050,22,0.9977621277,11.9731455318,11.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000051,22,1.0000000000,4.0000000000,4.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000052,21,0.5000000000,12.0000000000,24.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000052,22,0.5000000000,12.0000000000,24.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000053,29,1.0000000000,22.0000000000,22.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000054,29,1.0000000000,15.0000000000,15.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000055,22,1.0000000000,11.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000056,22,1.0000000000,35.0000000000,35.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000057,21,0.4813961073,11.0721104690,23.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000057,22,0.5186038927,11.9278895310,23.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000058,21,1.0000000000,25.0000000000,25.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000059,21,0.8333333333,20.0000000000,24.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000059,29,0.1666666667,4.0000000000,24.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000060,29,1.0000000000,35.0000000000,35.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000061,21,0.1052631579,2.0000000000,19.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000061,22,0.8947368421,17.0000000000,19.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000062,22,1.0000000000,14.0000000000,14.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000063,21,1.0000000000,12.0000000000,12.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000064,20,0.2105263158,4.0000000000,19.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000064,29,0.7894736842,15.0000000000,19.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000065,20,1.0000000000,10.0000000000,10.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000066,20,0.7272727273,8.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000066,29,0.2727272727,3.0000000000,11.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000067,21,1.0000000000,21.0000000000,21.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000068,21,1.0000000000,16.0000000000,16.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000069,21,1.0000000000,10.9999999998,10.9999999998,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000070,20,0.3957991181,4.3537902994,11.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000070,21,0.6042008819,6.6462097007,11.0000000001,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000071,20,1.0000000000,20.9999999999,20.9999999999,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000072,29,1.0000000000,12.0000000000,12.0000000000,0,JACKSON,JACKSON|KANSAS CITY
JACKSON - 000073,29,1.0000000000,10.0000000000,10.0000000000,0,JACKSON,JACKSON|KANSAS CITY
