precinct_key,district_num,area_weight
BOONE - 000027,50,0.114286
BOONE - 000028,44,1.000000
BOONE - 000029,46,1.000000
BOONE - 000030,46,1.000000
BOONE - 000031,46,0.488095
BOONE - 000031,45,0.511905
BOONE - 000032,46,1.000000
BOONE - 000033,47,0.378571
BOONE - 000033,45,0.621429
BOONE - 000034,46,1.000000
BOONE - 000035,44,1.000000
BOONE - 000036,44,1.000000
BOONE - 000037,44,1.000000
BOONE - 000038,46,0.228571
BOONE - 000038,44,0.771429
BOONE - 000039,50,0.673810
BOONE - 000039,44,0.326190
BOONE - 000040,44,1.000000
BOONE - 000041,47,0.450000
BOONE - 000041,50,0.550000
BOONE - 000042,47,1.000000
BOONE - 000043,47,1.000000
BOONE - 000044,46,1.000000
BOONE - 000045,46,1.000000
BOONE - 000046,46,0.990476
BOONE - 000046,44,0.009524
BOONE - 000047,45,0.950000
BOONE - 000047,46,0.050000
BOONE - 000048,46,0.647619
BOONE - 000048,45,0.280952
BOONE - 000048,50,0.071429
BOONE - 000049,47,1.000000
BOONE - 000050,47,1.000000
BOONE - 000051,47,1.000000
BOONE - 000052,47,1.000000
BOONE - 000053,47,1.000000
BOONE - 000054,45,0.904762
BOONE - 000054,47,0.095238
BOONE - 000055,47,1.000000
BOONE - 000056,47,1.000000
BOONE - 000057,45,1.000000
BOONE - 000058,47,1.000000
BOONE - 000059,45,0.990476
BOONE - 000059,50,0.009524
BOONE - 000060,45,1.000000
BOONE - 000061,50,1.000000
BOONE - 000062,50,1.000000
BOONE - 000063,50,1.000000
BOONE - 000064,50,1.000000
BOONE - 000065,50,1.000000
BOONE - 000066,50,1.000000
BOONE - 000067,50,1.000000
BOONE - 000068,45,1.000000
BOONE - 000069,45,1.000000
BOONE - 000070,45,0.676190
BOONE - 000070,50,0.323810
BOONE - 000071,50,0.826190
BOONE - 000071,45,0.154762
BOONE - 000071,44,0.019048
BOONE - 000072,50,0.516667
BOONE - 000072,45,0.483333
BOONE - 000073,47,1.000000
BOONE - 000074,47,1.000000
BOONE - 000075,44,1.000000
BUCHANAN - 000002,11,1.000000
BUCHANAN - 000003,11,1.000000
BUCHANAN - 000004,10,1.000000
BUCHANAN - 000005,10,1.000000
BUCHANAN - 000006,10,0.269048
BUCHANAN - 000006,11,0.723810
BUCHANAN - 000006,13,0.007143
BUCHANAN - 000007,11,0.223810
BUCHANAN - 000007,10,0.776190
BUCHANAN - 000008,11,1.000000
BUCHANAN - 000009,11,1.000000
BUCHANAN - 000010,11,1.000000
BUCHANAN - 000011,11,1.000000
BUCHANAN - 000012,10,0.633333
BUCHANAN - 000012,11,0.366667
BUCHANAN - 000013,11,1.000000
BUCHANAN - 000014,13,1.000000
BUCHANAN - 000015,13,1.000000
BUCHANAN - 000016,11,1.000000
BUCHANAN - 000017,11,0.921429
BUCHANAN - 000017,13,0.078571
BUCHANAN - 000018,13,1.000000
BUCHANAN - 000019,13,1.000000
BUCHANAN - 000020,13,1.000000
BUCHANAN - 000021,13,1.000000
BUCHANAN - 000022,13,1.000000
BUCHANAN - 000023,13,1.000000
BUCHANAN - 000024,13,1.000000
BUCHANAN - 000025,13,1.000000
BUCHANAN - 000026,13,1.000000
BUCHANAN - 000027,13,0.754762
BUCHANAN - 000027,11,0.228571
BUCHANAN - 000027,10,0.011905
BUCHANAN - 000027,9,0.004762
BUCHANAN - 000028,10,1.000000
BUCHANAN - 000029,10,1.000000
BUCHANAN - 000030,13,1.000000
BUCHANAN - 000031,11,1.000000
BUCHANAN - 000032,13,0.504762
BUCHANAN - 000032,11,0.495238
BUCHANAN - 000033,10,1.000000
BUCHANAN - 000034,10,1.000000
BUCHANAN - 000035,10,1.000000
BUCHANAN - 000036,10,1.000000
BUCHANAN - 000037,10,1.000000
BUCHANAN - 000038,10,1.000000
BUCHANAN - 000039,10,1.000000
BUCHANAN - 000040,10,1.000000
BUCHANAN - 000041,10,1.000000
BUCHANAN - 000042,10,1.000000
BUCHANAN - 000043,10,1.000000
BUCHANAN - 000044,10,1.000000
BUCHANAN - 000045,10,1.000000
BUCHANAN - 000046,10,0.604762
BUCHANAN - 000046,11,0.395238
BUCHANAN - 000047,10,1.000000
BUCHANAN - 000048,10,1.000000
BUCHANAN - 000049,10,1.000000
BUCHANAN - 000050,10,0.673810
BUCHANAN - 000050,11,0.326190
BUCHANAN - 000051,10,1.000000
BUCHANAN - 000052,11,0.766667
BUCHANAN - 000052,10,0.233333
BUCHANAN - 000053,11,1.000000
BUCHANAN - 000054,10,1.000000
BUCHANAN - 000055,11,0.861905
BUCHANAN - 000055,10,0.138095
BUCHANAN - 000056,11,1.000000
BUCHANAN - 000057,11,1.000000
BUCHANAN - 000058,11,1.000000
BUCHANAN - 000059,11,1.000000
BUCHANAN - 000060,11,1.000000
BUCHANAN - 000061,11,1.000000
BUTLER - 000002,152,1.000000
BUTLER - 000003,152,0.938095
BUTLER - 000003,150,0.061905
BUTLER - 000004,150,1.000000
BUTLER - 000005,150,1.000000
BUTLER - 000006,152,1.000000
BUTLER - 000007,152,1.000000
BUTLER - 000008,150,1.000000
BUTLER - 000009,152,0.997619
BUTLER - 000009,150,0.002381
BUTLER - 000010,152,1.000000
BUTLER - 000011,152,1.000000
BUTLER - 000012,150,1.000000
BUTLER - 000013,152,1.000000
BUTLER - 000014,152,1.000000
BUTLER - 000015,150,1.000000
BUTLER - 000016,152,1.000000
BUTLER - 000017,152,1.000000
BUTLER - 000018,152,1.000000
BUTLER - 000019,152,1.000000
BUTLER - 000020,152,1.000000
BUTLER - 000021,152,1.000000
BUTLER - 000022,152,1.000000
BUTLER - 000023,150,0.326190
BUTLER - 000023,152,0.673810
BUTLER - 000024,152,0.400000
BUTLER - 000024,150,0.600000
BUTLER - 000025,152,1.000000
BUTLER - 000026,152,1.000000
CALDWELL - 000002,2,1.000000
CALDWELL - 000003,2,1.000000
CALDWELL - 000004,2,1.000000
CALDWELL - 000005,2,1.000000
CALDWELL - 000006,2,1.000000
CALDWELL - 000007,2,1.000000
CALDWELL - 000008,2,1.000000
CALDWELL - 000009,2,1.000000
CALDWELL - 000010,2,1.000000
CALDWELL - 000011,2,1.000000
CALLAWAY - 000002,43,1.000000
CALLAWAY - 000003,49,0.676190
CALLAWAY - 000003,43,0.323810
CALLAWAY - 000004,49,1.000000
CALLAWAY - 000005,49,1.000000
CALLAWAY - 000006,49,1.000000
CALLAWAY - 000007,49,0.938095
CALLAWAY - 000007,43,0.061905
CALLAWAY - 000008,49,1.000000
CALLAWAY - 000009,49,1.000000
CALLAWAY - 000010,49,1.000000
CALLAWAY - 000011,49,1.000000
CALLAWAY - 000012,49,0.911905
CALLAWAY - 000012,43,0.088095
CALLAWAY - 000013,49,1.000000
CALLAWAY - 000014,49,1.000000
CALLAWAY - 000015,43,1.000000
CALLAWAY - 000016,49,1.000000
CALLAWAY - 000017,49,1.000000
CALLAWAY - 000018,49,1.000000
CALLAWAY - 000019,43,0.992857
CALLAWAY - 000019,49,0.007143
CALLAWAY - 000020,49,0.716667
CALLAWAY - 000020,43,0.283333
CALLAWAY - 000021,49,1.000000
CALLAWAY - 000022,49,1.000000
CALLAWAY - 000023,49,1.000000
CALLAWAY - 000024,49,1.000000
CALLAWAY - 000025,43,1.000000
CALLAWAY - 000026,43,0.885714
CALLAWAY - 000026,49,0.114286
CALLAWAY - 000027,49,1.000000
CALLAWAY - 000028,43,0.311905
CALLAWAY - 000028,49,0.688095
CAMDEN - 000002,123,1.000000
CAMDEN - 000003,142,1.000000
CAMDEN - 000004,123,0.952381
CAMDEN - 000004,142,0.047619
CAMDEN - 000005,123,1.000000
CAMDEN - 000006,123,1.000000
CAMDEN - 000007,123,1.000000
CAMDEN - 000008,123,1.000000
CAMDEN - 000009,123,0.966667
CAMDEN - 000009,142,0.033333
CAMDEN - 000010,123,1.000000
CAMDEN - 000011,123,1.000000
CAMDEN - 000012,142,0.990476
CAMDEN - 000012,123,0.009524
CAMDEN - 000013,123,1.000000
CAMDEN - 000014,123,0.978571
CAMDEN - 000014,58,0.021429
CAMDEN - 000015,123,1.000000
CAMDEN - 000016,142,1.000000
CAMDEN - 000017,123,1.000000
CAMDEN - 000018,123,1.000000
CAMDEN - 000019,123,1.000000
CAMDEN - 000020,123,1.000000
CAMDEN - 000021,123,0.540476
CAMDEN - 000021,142,0.459524
CAMDEN - 000022,123,1.000000
CAMDEN - 000023,142,1.000000
CAMDEN - 000024,123,1.000000
CAMDEN - 000025,123,1.000000
CAMDEN - 000026,123,1.000000
CAMDEN - 000028,123,1.000000
CAPE GIRARDEAU - 000002,146,1.000000
CAPE GIRARDEAU - 000003,146,1.000000
CAPE GIRARDEAU - 000004,146,1.000000
CAPE GIRARDEAU - 000005,146,1.000000
CAPE GIRARDEAU - 000006,146,1.000000
CAPE GIRARDEAU - 000007,146,1.000000
CAPE GIRARDEAU - 000008,146,1.000000
CAPE GIRARDEAU - 000009,146,0.973810
CAPE GIRARDEAU - 000009,151,0.026190
CAPE GIRARDEAU - 000010,147,1.000000
CAPE GIRARDEAU - 000011,147,1.000000
CAPE GIRARDEAU - 000012,146,0.804762
CAPE GIRARDEAU - 000012,147,0.192857
CAPE GIRARDEAU - 000012,148,0.002381
CAPE GIRARDEAU - 000013,147,1.000000
CAPE GIRARDEAU - 000014,147,1.000000
CAPE GIRARDEAU - 000015,147,1.000000
CAPE GIRARDEAU - 000016,147,0.980952
CAPE GIRARDEAU - 000016,146,0.019048
CAPE GIRARDEAU - 000017,147,0.954762
CAPE GIRARDEAU - 000017,146,0.045238
CAPE GIRARDEAU - 000018,147,1.000000
CAPE GIRARDEAU - 000019,147,1.000000
CAPE GIRARDEAU - 000020,147,1.000000
CAPE GIRARDEAU - 000021,147,1.000000
CAPE GIRARDEAU - 000022,147,1.000000
CAPE GIRARDEAU - 000023,147,1.000000
CAPE GIRARDEAU - 000024,147,1.000000
CAPE GIRARDEAU - 000025,147,1.000000
CAPE GIRARDEAU - 000026,151,1.000000
CAPE GIRARDEAU - 000027,146,1.000000
CAPE GIRARDEAU - 000028,146,1.000000
CAPE GIRARDEAU - 000029,151,0.738095
CAPE GIRARDEAU - 000029,146,0.261905
CAPE GIRARDEAU - 000030,147,0.216667
CAPE GIRARDEAU - 000030,146,0.783333
CAPE GIRARDEAU - 000031,146,1.000000
CAPE GIRARDEAU - 000032,146,0.978571
CAPE GIRARDEAU - 000032,147,0.021429
CAPE GIRARDEAU - 000033,146,1.000000
CAPE GIRARDEAU - 000034,146,1.000000
CAPE GIRARDEAU - 000035,146,1.000000
CAPE GIRARDEAU - 000036,146,1.000000
CAPE GIRARDEAU - 000037,146,1.000000
CAPE GIRARDEAU - 000038,151,1.000000
CARROLL - 000002,7,1.000000
CARROLL - 000003,7,1.000000
CARROLL - 000004,7,1.000000
CARROLL - 000005,7,1.000000
CARROLL - 000006,7,1.000000
CARROLL - 000007,7,1.000000
CARROLL - 000008,7,1.000000
CARROLL - 000009,7,1.000000
CARROLL - 000010,7,1.000000
CARROLL - 000011,7,1.000000
CARROLL - 000012,7,1.000000
CARROLL - 000013,7,1.000000
CARROLL - 000014,7,1.000000
CARROLL - 000015,7,1.000000
CARROLL - 000016,7,1.000000
CARROLL - 000017,7,1.000000
