block_geoid20,blk2020gj,precinct_key,district_num,is_kansas_city,election_county,election_county_aliases
290950175002026,G29009500175002026,JACKSON - 000260,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950145032010,G29009500145032010,JACKSON - 000569,29,0,JACKSON,JACKSON|KANSAS CITY
290950069002009,G29009500069002009,JACKSON - 000441,24,1,KANSAS CITY,KANSAS CITY|JACKSON
290950022002005,G29009500022002005,JACKSON - 000204,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950074003001,G29009500074003001,JACKSON - 000448,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950135021035,G29009500135021035,JACKSON - 000552,33,0,JACKSON,JACKSON|KANSAS CITY
290950090001000,G29009500090001000,JACKSON - 000270,26,1,KANSAS CITY,KANSAS CITY|JACKSON
290950154011017,G29009500154011017,JACKSON - K16218,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950154012027,G29009500154012027,JACKSON - 000157,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950111001029,G29009500111001029,JACKSON - 000003,20,0,JACKSON,JACKSON|KANSAS CITY
290950141272032,G29009500141272032,JACKSON - 000586,31,0,JACKSON,JACKSON|KANSAS CITY
290950141272030,G29009500141272030,JACKSON - 000586,31,0,JACKSON,JACKSON|KANSAS CITY
290950148063001,G29009500148063001,JACKSON - 000620,31,0,JACKSON,JACKSON|KANSAS CITY
290950088003006,G29009500088003006,JACKSON - 000267,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950100021000,G29009500100021000,JACKSON - KC1004,26,1,KANSAS CITY,KANSAS CITY|JACKSON
290950129061004,G29009500129061004,JACKSON - 000388,37,1,KANSAS CITY,KANSAS CITY|JACKSON
290950072002011,G29009500072002011,JACKSON - 000451,25,1,KANSAS CITY,KANSAS CITY|JACKSON
290950155001072,G29009500155001072,JACKSON - KC1110,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950010002006,G29009500010002006,JACKSON - 000177,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950155001050,G29009500155001050,JACKSON - 000196,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950134173006,G29009500134173006,JACKSON - 000332,36,1,KANSAS CITY,KANSAS CITY|JACKSON
290950095001023,G29009500095001023,JACKSON - 000285,26,1,KANSAS CITY,KANSAS CITY|JACKSON
290950097001001,G29009500097001001,JACKSON - 000288,26,1,KANSAS CITY,KANSAS CITY|JACKSON
290950176003007,G29009500176003007,JACKSON - 000356,35,1,KANSAS CITY,KANSAS CITY|JACKSON
290950095002005,G29009500095002005,JACKSON - 000288,26,1,KANSAS CITY,KANSAS CITY|JACKSON
290950087001010,G29009500087001010,JACKSON - 000254,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950181012008,G29009500181012008,JACKSON - 000517,34,0,JACKSON,JACKSON|KANSAS CITY
290950076002002,G29009500076002002,JACKSON - 000241,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950152003082,G29009500152003082,JACKSON - 000152,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950021002007,G29009500021002007,JACKSON - 000202,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950003002009,G29009500003002009,JACKSON - 000175,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950150001047,G29009500150001047,JACKSON - 000140,32,0,JACKSON,JACKSON|KANSAS CITY
290950052001017,G29009500052001017,JACKSON - 000302,24,1,KANSAS CITY,KANSAS CITY|JACKSON
290950023002008,G29009500023002008,JACKSON - 000208,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950155001017,G29009500155001017,JACKSON - 000196,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950141213008,G29009500141213008,JACKSON - 000596,33,0,JACKSON,JACKSON|KANSAS CITY
290950139182025,G29009500139182025,JACKSON - 000547,33,0,JACKSON,JACKSON|KANSAS CITY
290950139182013,G29009500139182013,JACKSON - PR1654,33,0,JACKSON,JACKSON|KANSAS CITY
290950141262011,G29009500141262011,JACKSON - 000586,31,0,JACKSON,JACKSON|KANSAS CITY
290950088003036,G29009500088003036,JACKSON - 000267,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950037001006,G29009500037001006,JACKSON - 000213,23,1,KANSAS CITY,KANSAS CITY|JACKSON
290950006003014,G29009500006003014,JACKSON - 000190,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950081002003,G29009500081002003,JACKSON - 000236,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950082002017,G29009500082002017,JACKSON - 000456,27,1,KANSAS CITY,KANSAS CITY|JACKSON
290950006004007,G29009500006004007,JACKSON - 000188,19,1,KANSAS CITY,KANSAS CITY|JACKSON
290950113001028,G29009500113001028,JACKSON - 000019,20,0,JACKSON,JACKSON|KANSAS CITY
290950139044017,G29009500139044017,JACKSON - 000546,30,0,JACKSON,JACKSON|KANSAS CITY
290950113002015,G29009500113002015,JACKSON - 000022,20,0,JACKSON,JACKSON|KANSAS CITY
290950175001001,G29009500175001001,JACKSON - 000350,27,1,KANSAS CITY,KANSAS CITY|JACKSON
