precinct_key,district_num,area_weight
ADAIR - 000002,4,1.0
ADAIR - 000003,3,1.0
ADAIR - 000004,3,1.0
ADAIR - 000005,3,1.0
ADAIR - 000006,3,1.0
ADAIR - 000007,3,1.0
ADAIR - 000008,3,1.0
ADAIR - 000009,3,1.0
ADAIR - 000010,3,1.0
ADAIR - 000011,3,1.0
ANDREW - 000002,9,1.0
ANDREW - 000003,9,1.0
ANDREW - 000004,9,1.0
ANDREW - 000005,9,1.0
ANDREW - 000006,9,1.0
ANDREW - 000007,9,1.0
ANDREW - 000008,9,1.0
ANDREW - 000009,9,1.0
ANDREW - 000010,9,1.0
ANDREW - 000011,9,1.0
ANDREW - 000012,9,1.0
ANDREW - 000013,9,1.0
ANDREW - 000014,9,1.0
ANDREW - 000015,9,1.0
ANDREW - 000016,9,1.0
ANDREW - 000017,9,1.0
ANDREW - 000018,9,1.0
ANDREW - 000019,9,1.0
ANDREW - 000020,9,1.0
ANDREW - 000021,9,1.0
ATCHISON - 000002,1,1.0
ATCHISON - 000004,1,1.0
ATCHISON - 000005,1,1.0
ATCHISON - 000006,1,1.0
ATCHISON - 000007,1,1.0
AUDRAIN - 000502,43,1.0
AUDRAIN - 000506,43,1.0
AUDRAIN - 000508,43,1.0
AUDRAIN - 000510,43,1.0
AUDRAIN - 000512,43,1.0
AUDRAIN - 000513,43,1.0
AUDRAIN - 000545,43,1.0
AUDRAIN - 000616,43,1.0
AUDRAIN - 000623,43,1.0
AUDRAIN - 000632,43,1.0
AUDRAIN - 000633,43,1.0
AUDRAIN - 000641,43,1.0
AUDRAIN - 000642,43,1.0
AUDRAIN - 000657,43,1.0
AUDRAIN - 000658,43,1.0
AUDRAIN - 000667,43,1.0
BARRY - 000002,158,1.0
BARRY - 000003,158,1.0
BARRY - 000004,158,1.0
BARRY - 000005,158,1.0
BARRY - 000006,158,1.0
BARRY - 000007,158,1.0
BARRY - 000008,158,1.0
BARRY - 000009,158,1.0
BARRY - 000010,158,1.0
BARRY - 000011,158,1.0
BARRY - 000012,158,1.0
BARRY - 000013,158,1.0
BARRY - 000014,158,1.0
BARRY - 000015,158,1.0
BARRY - 000016,158,1.0
BARRY - 000017,158,1.0
BARRY - 000018,158,1.0
BARRY - 000019,158,1.0
BARRY - 000020,158,1.0
BARRY - 000021,158,1.0
BARRY - 000022,158,1.0
BARRY - 000023,158,1.0
BARTON - 000004,127,1.0
BARTON - 000008,127,1.0
BARTON - 000010,127,1.0
BARTON - 000011,127,1.0
BARTON - 000015,127,1.0
BARTON - 000016,127,1.0
BARTON - 16-018,127,1.0
BARTON - 16-021,127,1.0
BATES - 002701,62,1.0
BATES - 002703,62,1.0
BATES - 002705,62,1.0
BATES - 002722,62,1.0
BATES - 002767,62,1.0
BATES - 002801,125,1.0
BATES - 002814,125,1.0
BATES - 002825,125,1.0
BATES - 002847,125,1.0
BATES - 002849,125,1.0
BATES - 002850,125,1.0
BATES - 002868,125,1.0
BATES - 002892,125,1.0
BATES - 002904,125,1.0
BATES - 002930,125,1.0
BENTON - 000001,57,1.0
BENTON - 000002,57,1.0
BENTON - 000004,126,1.0
BENTON - 000005,57,1.0
BENTON - 000007,126,1.0
BENTON - 000008,57,1.0
BENTON - 000009,57,1.0
BENTON - 0012-6,57,1.0
BOLLINGER - 000003,151,1.0
BOLLINGER - 000005,144,1.0
BOLLINGER - 000006,151,1.0
BOLLINGER - 000007,151,1.0
BOLLINGER - 000009,144,1.0
BOLLINGER - 000010,144,1.0
BOLLINGER - 000011,144,1.0
BOLLINGER - 000012,151,1.0
BOLLINGER - 000015,151,1.0
BOONE - 000007,47,1.0
BOONE - 000008,47,1.0
BOONE - 000009,44,1.0
BOONE - 000010,44,1.0
BOONE - 000011,44,1.0
BOONE - 000012,44,1.0
BOONE - 000015,47,1.0
BOONE - 000016,44,1.0
BOONE - 000017,44,1.0
BOONE - 000018,47,1.0
BOONE - 000019,47,1.0
BOONE - 00001A,45,1.0
BOONE - 00001B,45,1.0
BOONE - 00001C,45,1.0
BOONE - 00001D,45,1.0
BOONE - 00001E,45,1.0
BOONE - 00001F,45,1.0
BOONE - 00001G,45,1.0
BOONE - 00001I,45,1.0
BOONE - 000020,47,1.0
BOONE - 000021,47,1.0
BOONE - 000022,47,1.0
BOONE - 000023,44,1.0
BOONE - 000024,44,1.0
BOONE - 000025,44,1.0
BOONE - 000026,44,1.0
BOONE - 000027,44,1.0
BOONE - 000028,50,1.0
BOONE - 000029,44,1.0
BOONE - 00002A,46,1.0
BOONE - 00002B,46,1.0
BOONE - 00002C,46,1.0
BOONE - 00002D,46,1.0
BOONE - 00002F,46,1.0
BOONE - 00002G,46,1.0
BOONE - 00002H,46,1.0
BOONE - 00002I,46,1.0
BOONE - 00002J,46,1.0
BOONE - 00002K,47,1.0
BOONE - 000030,44,1.0
BOONE - 000031,44,1.0
BOONE - 000032,44,1.0
BOONE - 000033,44,1.0
