ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",36931,-0.022,0.2389,0.7451,0.0159,29079,0.9294,0.0706,0.015,0.0152,0.0159,0.0184,0.0009,
"2",37183,-0.0153,0.1812,0.8066,0.0122,28187,0.941,0.059,0.0156,0.0081,0.0063,0.0229,0.002,
"3",37874,0.003,0.2868,0.6973,0.0159,30275,0.8635,0.1365,0.0454,0.0414,0.0266,0.0224,0.0008,
"4",37294,-0.0123,0.1939,0.7914,0.0147,28186,0.9532,0.0468,0.0103,0.0108,0.0051,0.0182,0.0011,
"5",38880,0.0297,0.2319,0.7529,0.0152,30014,0.9061,0.0939,0.0135,0.0425,0.007,0.0233,0.0015,
"6",37644,-0.0031,0.2278,0.7539,0.0183,29267,0.8874,0.1126,0.017,0.0558,0.0076,0.0255,0.001,
"7",38608,0.0225,0.2066,0.7815,0.0119,30076,0.9326,0.0674,0.0139,0.0184,0.0055,0.0239,0.0009,
"8",38420,0.0175,0.3131,0.6691,0.0178,29131,0.9002,0.0998,0.0294,0.0196,0.0118,0.0313,0.0015,
"9",37840,0.0021,0.2313,0.7521,0.0166,29117,0.9119,0.0881,0.0181,0.032,0.0071,0.026,0.0007,
"10",37451,-0.0082,0.4342,0.545,0.0208,29023,0.8008,0.1992,0.0647,0.0828,0.0149,0.0312,0.0057,
"11",38745,0.0261,0.3495,0.6308,0.0198,30341,0.8382,0.1618,0.0561,0.0533,0.0185,0.0268,0.0062,
"12",38147,0.0102,0.5149,0.4634,0.0216,28566,0.7661,0.2339,0.061,0.0979,0.0352,0.0293,0.0066,
"13",38797,0.0275,0.3312,0.6513,0.0174,29721,0.8731,0.1269,0.0363,0.0339,0.0195,0.0262,0.0028,
"14",38371,0.0162,0.5293,0.4508,0.0199,29667,0.76,0.24,0.0652,0.098,0.0399,0.0266,0.0099,
"15",38417,0.0174,0.5375,0.4419,0.0205,30262,0.7538,0.2462,0.0737,0.0974,0.0335,0.0343,0.0087,
"16",37066,-0.0184,0.4886,0.4917,0.0197,27586,0.7738,0.2262,0.069,0.0899,0.0353,0.0289,0.0041,
"17",38465,0.0187,0.5161,0.4643,0.0196,28720,0.7428,0.2572,0.0814,0.1026,0.0345,0.0318,0.0046,
"18",37053,-0.0187,0.5967,0.3796,0.0237,29545,0.694,0.306,0.0903,0.122,0.0561,0.0332,0.0079,
"19",36904,-0.0227,0.744,0.2369,0.0192,27124,0.3671,0.6329,0.4006,0.1331,0.0798,0.0368,0.0039,
"20",38877,0.0296,0.4053,0.5719,0.0228,29049,0.7874,0.2126,0.0698,0.0684,0.016,0.0417,0.013,
"21",38792,0.0273,0.4893,0.4841,0.0265,29831,0.7149,0.2851,0.1194,0.0976,0.014,0.0472,0.009,
"22",37933,0.0046,0.7514,0.2289,0.0198,28915,0.3264,0.6736,0.105,0.5347,0.0116,0.0339,0.0044,
"23",36835,-0.0245,0.8634,0.1194,0.0171,26995,0.205,0.795,0.2122,0.5269,0.0415,0.034,0.0041,
"24",37008,-0.0199,0.8429,0.1372,0.0198,34089,0.7024,0.2976,0.0904,0.133,0.0526,0.0263,0.0027,
"25",37069,-0.0183,0.7731,0.2109,0.016,30969,0.8508,0.1492,0.0457,0.042,0.0367,0.0193,0.0009,
"26",36948,-0.0215,0.8273,0.1549,0.0178,28390,0.3486,0.6514,0.065,0.541,0.0268,0.0299,0.0023,
"27",36655,-0.0293,0.8842,0.0974,0.0184,28576,0.3205,0.6795,0.0689,0.5738,0.0207,0.0267,0.0017,
"28",37211,-0.0145,0.6541,0.3243,0.0216,29302,0.5532,0.4468,0.0693,0.3283,0.018,0.0314,0.0047,
"29",38777,0.0269,0.4887,0.4903,0.0211,31559,0.7529,0.2471,0.0886,0.0967,0.0227,0.0334,0.008,
"30",37486,-0.0073,0.4739,0.507,0.0191,27940,0.8139,0.1861,0.0409,0.0829,0.0325,0.026,0.0018,
"31",38739,0.0259,0.4515,0.5271,0.0215,28710,0.808,0.192,0.052,0.0819,0.0201,0.0323,0.0034,
"32",38837,0.0285,0.3138,0.667,0.0192,28587,0.8741,0.1259,0.0409,0.0236,0.0111,0.039,0.0037,
"33",38134,0.0099,0.3979,0.5842,0.0179,28216,0.8409,0.1591,0.0404,0.0634,0.0192,0.0291,0.0034,
