county,precinct_code,precinct,office,district,candidate,party,votes
Adair,3,SE3-MOOSE,Constitutional Amendment 3,,No,,125
Adair,3,SE3-MOOSE,Constitutional Amendment 3,,Yes,,195
Adair,4,NE4-ANNEX,Constitutional Amendment 3,,No,,202
Adair,4,NE4-ANNEX,Constitutional Amendment 3,,Yes,,315
Adair,5,NE5-MOOSE5,Constitutional Amendment 3,,No,,264
Adair,5,NE5-MOOSE5,Constitutional Amendment 3,,Yes,,229
Adair,6,NE6-NAZARENE,Constitutional Amendment 3,,No,,456
Adair,6,NE6-NAZARENE,Constitutional Amendment 3,,Yes,,309
Adair,7,TSU,Constitutional Amendment 3,,No,,9
Adair,7,TSU,Constitutional Amendment 3,,Yes,,36
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Amendment 3,,No,,755
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Amendment 3,,Yes,,398
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Amendment 3,,No,,443
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Amendment 3,,Yes,,188
Adair,1,SW1-CORNERSTONE,Constitutional Amendment 4,,No,,132
Adair,1,SW1-CORNERSTONE,Constitutional Amendment 4,,Yes,,202
Adair,10,NOVINGER,Constitutional Amendment 4,,No,,233
Adair,10,NOVINGER,Constitutional Amendment 4,,Yes,,431
Adair,11,ABSENTEE,Constitutional Amendment 4,,No,,508
Adair,11,ABSENTEE,Constitutional Amendment 4,,Yes,,674
Adair,12,FEDERAL,Constitutional Amendment 4,,No,,0
Adair,12,FEDERAL,Constitutional Amendment 4,,Yes,,0
Adair,2,SE2-REHOBOTH,Constitutional Amendment 4,,No,,292
Adair,2,SE2-REHOBOTH,Constitutional Amendment 4,,Yes,,553
Adair,3,SE3-MOOSE,Constitutional Amendment 4,,No,,163
Adair,3,SE3-MOOSE,Constitutional Amendment 4,,Yes,,143
Adair,4,NE4-ANNEX,Constitutional Amendment 4,,No,,227
Adair,4,NE4-ANNEX,Constitutional Amendment 4,,Yes,,276
Adair,5,NE5-MOOSE5,Constitutional Amendment 4,,No,,169
Adair,5,NE5-MOOSE5,Constitutional Amendment 4,,Yes,,303
Adair,6,NE6-NAZARENE,Constitutional Amendment 4,,No,,299
Adair,6,NE6-NAZARENE,Constitutional Amendment 4,,Yes,,433
Adair,7,TSU,Constitutional Amendment 4,,No,,30
Adair,7,TSU,Constitutional Amendment 4,,Yes,,13
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Amendment 4,,No,,415
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Amendment 4,,Yes,,715
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Amendment 4,,No,,265
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Amendment 4,,Yes,,347
Adair,1,SW1-CORNERSTONE,Constitutional Amendment 5,,No,,129
Adair,1,SW1-CORNERSTONE,Constitutional Amendment 5,,Yes,,189
Adair,10,NOVINGER,Constitutional Amendment 5,,No,,244
Adair,10,NOVINGER,Constitutional Amendment 5,,Yes,,427
Adair,11,ABSENTEE,Constitutional Amendment 5,,No,,534
Adair,11,ABSENTEE,Constitutional Amendment 5,,Yes,,628
Adair,12,FEDERAL,Constitutional Amendment 5,,No,,0
Adair,12,FEDERAL,Constitutional Amendment 5,,Yes,,0
Adair,2,SE2-REHOBOTH,Constitutional Amendment 5,,No,,320
Adair,2,SE2-REHOBOTH,Constitutional Amendment 5,,Yes,,518
Adair,3,SE3-MOOSE,Constitutional Amendment 5,,No,,149
Adair,3,SE3-MOOSE,Constitutional Amendment 5,,Yes,,156
Adair,4,NE4-ANNEX,Constitutional Amendment 5,,No,,215
Adair,4,NE4-ANNEX,Constitutional Amendment 5,,Yes,,281
Adair,5,NE5-MOOSE5,Constitutional Amendment 5,,No,,184
Adair,5,NE5-MOOSE5,Constitutional Amendment 5,,Yes,,282
Adair,6,NE6-NAZARENE,Constitutional Amendment 5,,No,,301
Adair,6,NE6-NAZARENE,Constitutional Amendment 5,,Yes,,424
Adair,7,TSU,Constitutional Amendment 5,,No,,28
Adair,7,TSU,Constitutional Amendment 5,,Yes,,16
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Amendment 5,,No,,424
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Amendment 5,,Yes,,679
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Amendment 5,,No,,200
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Amendment 5,,Yes,,395
Adair,1,SW1-CORNERSTONE,Constitutional Convention Question,,No,,210
Adair,1,SW1-CORNERSTONE,Constitutional Convention Question,,Yes,,108
Adair,10,NOVINGER,Constitutional Convention Question,,No,,499
Adair,10,NOVINGER,Constitutional Convention Question,,Yes,,153
Adair,11,ABSENTEE,Constitutional Convention Question,,No,,876
Adair,11,ABSENTEE,Constitutional Convention Question,,Yes,,295
Adair,12,FEDERAL,Constitutional Convention Question,,No,,0
Adair,12,FEDERAL,Constitutional Convention Question,,Yes,,0
Adair,2,SE2-REHOBOTH,Constitutional Convention Question,,No,,589
Adair,2,SE2-REHOBOTH,Constitutional Convention Question,,Yes,,238
Adair,3,SE3-MOOSE,Constitutional Convention Question,,No,,186
Adair,3,SE3-MOOSE,Constitutional Convention Question,,Yes,,111
Adair,4,NE4-ANNEX,Constitutional Convention Question,,No,,328
Adair,4,NE4-ANNEX,Constitutional Convention Question,,Yes,,162
Adair,5,NE5-MOOSE5,Constitutional Convention Question,,No,,330
Adair,5,NE5-MOOSE5,Constitutional Convention Question,,Yes,,134
Adair,6,NE6-NAZARENE,Constitutional Convention Question,,No,,536
Adair,6,NE6-NAZARENE,Constitutional Convention Question,,Yes,,181
Adair,7,TSU,Constitutional Convention Question,,No,,21
Adair,7,TSU,Constitutional Convention Question,,Yes,,24
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Convention Question,,No,,789
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Convention Question,,Yes,,300
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Convention Question,,No,,462
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Convention Question,,Yes,,132
Adair,1,SW1-CORNERSTONE,State Auditor,,Alan Green,DEM,126
Adair,1,SW1-CORNERSTONE,State Auditor,,Arnie C Dienoff,,0
Adair,1,SW1-CORNERSTONE,State Auditor,,John A Hartwig Jr,LIB,21
Adair,1,SW1-CORNERSTONE,State Auditor,,Scott Fitzpatrick,REP,192
Adair,1,SW1-CORNERSTONE,State Auditor,,Write-In,,0
Adair,10,NOVINGER,State Auditor,,Alan Green,DEM,85
Adair,10,NOVINGER,State Auditor,,Arnie C Dienoff,,0
Adair,10,NOVINGER,State Auditor,,John A Hartwig Jr,LIB,25
Adair,10,NOVINGER,State Auditor,,Scott Fitzpatrick,REP,597
Adair,10,NOVINGER,State Auditor,,Write-In,,0
Adair,11,ABSENTEE,State Auditor,,Alan Green,DEM,528
Adair,11,ABSENTEE,State Auditor,,Arnie C Dienoff,,0
Adair,11,ABSENTEE,State Auditor,,John A Hartwig Jr,LIB,19
Adair,11,ABSENTEE,State Auditor,,Scott Fitzpatrick,REP,671
Adair,11,ABSENTEE,State Auditor,,Write-In,,0
Adair,12,FEDERAL,State Auditor,,Alan Green,DEM,0
Adair,12,FEDERAL,State Auditor,,Arnie C Dienoff,,0
Adair,12,FEDERAL,State Auditor,,John A Hartwig Jr,LIB,0
Adair,12,FEDERAL,State Auditor,,Scott Fitzpatrick,REP,0
Adair,12,FEDERAL,State Auditor,,Write-In,,0
Adair,2,SE2-REHOBOTH,State Auditor,,Alan Green,DEM,273
Adair,2,SE2-REHOBOTH,State Auditor,,Arnie C Dienoff,,0
Adair,2,SE2-REHOBOTH,State Auditor,,John A Hartwig Jr,LIB,21
Adair,2,SE2-REHOBOTH,State Auditor,,Scott Fitzpatrick,REP,571
Adair,2,SE2-REHOBOTH,State Auditor,,Write-In,,0
Adair,3,SE3-MOOSE,State Auditor,,Alan Green,DEM,171
Adair,3,SE3-MOOSE,State Auditor,,Arnie C Dienoff,,0
Adair,3,SE3-MOOSE,State Auditor,,John A Hartwig Jr,LIB,21
Adair,3,SE3-MOOSE,State Auditor,,Scott Fitzpatrick,REP,123
Adair,3,SE3-MOOSE,State Auditor,,Write-In,,0
Adair,4,NE4-ANNEX,State Auditor,,Alan Green,DEM,224
Adair,4,NE4-ANNEX,State Auditor,,Arnie C Dienoff,,0
Adair,4,NE4-ANNEX,State Auditor,,John A Hartwig Jr,LIB,41
Adair,4,NE4-ANNEX,State Auditor,,Scott Fitzpatrick,REP,252
Adair,4,NE4-ANNEX,State Auditor,,Write-In,,0
Adair,5,NE5-MOOSE5,State Auditor,,Alan Green,DEM,172
Adair,5,NE5-MOOSE5,State Auditor,,Arnie C Dienoff,,0
Adair,5,NE5-MOOSE5,State Auditor,,John A Hartwig Jr,LIB,11
Adair,5,NE5-MOOSE5,State Auditor,,Scott Fitzpatrick,REP,305
Adair,5,NE5-MOOSE5,State Auditor,,Write-In,,0
Adair,6,NE6-NAZARENE,State Auditor,,Alan Green,DEM,234
Adair,6,NE6-NAZARENE,State Auditor,,Arnie C Dienoff,,0
Adair,6,NE6-NAZARENE,State Auditor,,John A Hartwig Jr,LIB,33
Adair,6,NE6-NAZARENE,State Auditor,,Scott Fitzpatrick,REP,490
Adair,6,NE6-NAZARENE,State Auditor,,Write-In,,0
Adair,7,TSU,State Auditor,,Alan Green,DEM,30
Adair,7,TSU,State Auditor,,Arnie C Dienoff,,0
Adair,7,TSU,State Auditor,,John A Hartwig Jr,LIB,2
Adair,7,TSU,State Auditor,,Scott Fitzpatrick,REP,13
Adair,7,TSU,State Auditor,,Write-In,,0
Adair,8,RURAL BENTON-CONSERVATION DEPT,State Auditor,,Alan Green,DEM,222
Adair,8,RURAL BENTON-CONSERVATION DEPT,State Auditor,,Arnie C Dienoff,,0
Adair,8,RURAL BENTON-CONSERVATION DEPT,State Auditor,,John A Hartwig Jr,LIB,49
Adair,8,RURAL BENTON-CONSERVATION DEPT,State Auditor,,Scott Fitzpatrick,REP,876
Adair,8,RURAL BENTON-CONSERVATION DEPT,State Auditor,,Write-In,,0
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State Auditor,,Alan Green,DEM,86
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State Auditor,,Arnie C Dienoff,,0
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State Auditor,,John A Hartwig Jr,LIB,20
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State Auditor,,Scott Fitzpatrick,REP,521
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State Auditor,,Write-In,,0
Adair,1,SW1-CORNERSTONE,State House,003,Danny Busick,REP,271
Adair,10,NOVINGER,State House,003,Danny Busick,REP,637
Adair,11,ABSENTEE,State House,003,Danny Busick,REP,797
Adair,12,FEDERAL,State House,003,Danny Busick,REP,0
Adair,2,SE2-REHOBOTH,State House,003,Danny Busick,REP,702
Adair,3,SE3-MOOSE,State House,003,Danny Busick,REP,221
Adair,4,NE4-ANNEX,State House,003,Danny Busick,REP,378
Adair,5,NE5-MOOSE5,State House,003,Danny Busick,REP,389
Adair,6,NE6-NAZARENE,State House,003,Danny Busick,REP,604
Adair,7,TSU,State House,003,Danny Busick,REP,30
Adair,8,RURAL BENTON-CONSERVATION DEPT,State House,003,Danny Busick,REP,976
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State House,003,Danny Busick,REP,197
Adair,1,SW1-CORNERSTONE,State House,004,Greg Sharpe,REP,0
Adair,10,NOVINGER,State House,004,Greg Sharpe,REP,0
Adair,11,ABSENTEE,State House,004,Greg Sharpe,REP,65
Adair,12,FEDERAL,State House,004,Greg Sharpe,REP,0
Adair,2,SE2-REHOBOTH,State House,004,Greg Sharpe,REP,0
Adair,3,SE3-MOOSE,State House,004,Greg Sharpe,REP,0
Adair,4,NE4-ANNEX,State House,004,Greg Sharpe,REP,0
Adair,5,NE5-MOOSE5,State House,004,Greg Sharpe,REP,0
Adair,6,NE6-NAZARENE,State House,004,Greg Sharpe,REP,0
Adair,7,TSU,State House,004,Greg Sharpe,REP,0
Adair,8,RURAL BENTON-CONSERVATION DEPT,State House,004,Greg Sharpe,REP,21
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State House,004,Greg Sharpe,REP,355
Adair,1,SW1-CORNERSTONE,State Senate,018,Ayanna Shivers,DEM,139
Adair,1,SW1-CORNERSTONE,State Senate,018,Cindy Olaughlin,REP,200
Adair,10,NOVINGER,State Senate,018,Ayanna Shivers,DEM,116
Adair,10,NOVINGER,State Senate,018,Cindy Olaughlin,REP,585
Adair,11,ABSENTEE,State Senate,018,Ayanna Shivers,DEM,549
Adair,11,ABSENTEE,State Senate,018,Cindy Olaughlin,REP,673
Adair,12,FEDERAL,State Senate,018,Ayanna Shivers,DEM,0
Adair,12,FEDERAL,State Senate,018,Cindy Olaughlin,REP,0
Adair,2,SE2-REHOBOTH,State Senate,018,Ayanna Shivers,DEM,292
Adair,2,SE2-REHOBOTH,State Senate,018,Cindy Olaughlin,REP,576
Adair,3,SE3-MOOSE,State Senate,018,Ayanna Shivers,DEM,184
Adair,3,SE3-MOOSE,State Senate,018,Cindy Olaughlin,REP,133
Adair,4,NE4-ANNEX,State Senate,018,Ayanna Shivers,DEM,246
Adair,4,NE4-ANNEX,State Senate,018,Cindy Olaughlin,REP,267
Adair,5,NE5-MOOSE5,State Senate,018,Ayanna Shivers,DEM,185
Adair,5,NE5-MOOSE5,State Senate,018,Cindy Olaughlin,REP,305
Adair,6,NE6-NAZARENE,State Senate,018,Ayanna Shivers,DEM,262
Adair,6,NE6-NAZARENE,State Senate,018,Cindy Olaughlin,REP,497
Adair,7,TSU,State Senate,018,Ayanna Shivers,DEM,35
Adair,7,TSU,State Senate,018,Cindy Olaughlin,REP,10
Adair,8,RURAL BENTON-CONSERVATION DEPT,State Senate,018,Ayanna Shivers,DEM,263
Adair,8,RURAL BENTON-CONSERVATION DEPT,State Senate,018,Cindy Olaughlin,REP,880
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State Senate,018,Ayanna Shivers,DEM,117
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,State Senate,018,Cindy Olaughlin,REP,511
Adair,1,SW1-CORNERSTONE,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,11
Adair,1,SW1-CORNERSTONE,U.S. House,006,Henry Martin,DEM,129
Adair,1,SW1-CORNERSTONE,U.S. House,006,Sam Graves,REP,202
Adair,10,NOVINGER,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,10
Adair,10,NOVINGER,U.S. House,006,Henry Martin,DEM,91
Adair,10,NOVINGER,U.S. House,006,Sam Graves,REP,609
Adair,11,ABSENTEE,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,22
Adair,11,ABSENTEE,U.S. House,006,Henry Martin,DEM,520
Adair,11,ABSENTEE,U.S. House,006,Sam Graves,REP,689
Adair,12,FEDERAL,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,0
Adair,12,FEDERAL,U.S. House,006,Henry Martin,DEM,0
Adair,12,FEDERAL,U.S. House,006,Sam Graves,REP,0
Adair,2,SE2-REHOBOTH,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,10
Adair,2,SE2-REHOBOTH,U.S. House,006,Henry Martin,DEM,270
Adair,2,SE2-REHOBOTH,U.S. House,006,Sam Graves,REP,592
Adair,3,SE3-MOOSE,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,13
Adair,3,SE3-MOOSE,U.S. House,006,Henry Martin,DEM,176
Adair,3,SE3-MOOSE,U.S. House,006,Sam Graves,REP,132
Adair,4,NE4-ANNEX,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,13
Adair,4,NE4-ANNEX,U.S. House,006,Henry Martin,DEM,227
Adair,4,NE4-ANNEX,U.S. House,006,Sam Graves,REP,276
Adair,5,NE5-MOOSE5,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,1
Adair,5,NE5-MOOSE5,U.S. House,006,Henry Martin,DEM,172
Adair,5,NE5-MOOSE5,U.S. House,006,Sam Graves,REP,320
Adair,6,NE6-NAZARENE,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,18
Adair,6,NE6-NAZARENE,U.S. House,006,Henry Martin,DEM,240
Adair,6,NE6-NAZARENE,U.S. House,006,Sam Graves,REP,506
Adair,7,TSU,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,0
Adair,7,TSU,U.S. House,006,Henry Martin,DEM,36
Adair,7,TSU,U.S. House,006,Sam Graves,REP,9
Adair,8,RURAL BENTON-CONSERVATION DEPT,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,26
Adair,8,RURAL BENTON-CONSERVATION DEPT,U.S. House,006,Henry Martin,DEM,224
Adair,8,RURAL BENTON-CONSERVATION DEPT,U.S. House,006,Sam Graves,REP,903
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,U.S. House,006,"Edward A ""Andy"" Maidment",LIB,18
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,U.S. House,006,Henry Martin,DEM,86
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,U.S. House,006,Sam Graves,REP,530
Adair,1,SW1-CORNERSTONE,U.S. Senate,,David Kirk,,0
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Eric Schmitt,REP,180
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Gina Bufe,,0
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Jonathan Dine,LIB,11
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Martin Lindstedt,,0
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Nathan Mooney,,0
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Paul Venable,OTH,2
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Rik Combs,,0
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Steve Price,,0
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Theo Brown,,0
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Trudy Busch Valentine,DEM,149
Adair,1,SW1-CORNERSTONE,U.S. Senate,,Write-In,,0
Adair,10,NOVINGER,U.S. Senate,,David Kirk,,0
Adair,10,NOVINGER,U.S. Senate,,Eric Schmitt,REP,575
Adair,10,NOVINGER,U.S. Senate,,Gina Bufe,,0
Adair,10,NOVINGER,U.S. Senate,,Jonathan Dine,LIB,16
Adair,10,NOVINGER,U.S. Senate,,Martin Lindstedt,,0
Adair,10,NOVINGER,U.S. Senate,,Nathan Mooney,,0
Adair,10,NOVINGER,U.S. Senate,,Paul Venable,OTH,4
Adair,10,NOVINGER,U.S. Senate,,Rik Combs,,0
Adair,10,NOVINGER,U.S. Senate,,Steve Price,,0
Adair,10,NOVINGER,U.S. Senate,,Theo Brown,,0
Adair,10,NOVINGER,U.S. Senate,,Trudy Busch Valentine,DEM,110
Adair,10,NOVINGER,U.S. Senate,,Write-In,,0
Adair,11,ABSENTEE,U.S. Senate,,David Kirk,,0
Adair,11,ABSENTEE,U.S. Senate,,Eric Schmitt,REP,664
Adair,11,ABSENTEE,U.S. Senate,,Gina Bufe,,0
Adair,11,ABSENTEE,U.S. Senate,,Jonathan Dine,LIB,13
Adair,11,ABSENTEE,U.S. Senate,,Martin Lindstedt,,0
Adair,11,ABSENTEE,U.S. Senate,,Nathan Mooney,,0
Adair,11,ABSENTEE,U.S. Senate,,Paul Venable,OTH,4
Adair,11,ABSENTEE,U.S. Senate,,Rik Combs,,0
Adair,11,ABSENTEE,U.S. Senate,,Steve Price,,0
Adair,11,ABSENTEE,U.S. Senate,,Theo Brown,,0
Adair,11,ABSENTEE,U.S. Senate,,Trudy Busch Valentine,DEM,549
Adair,11,ABSENTEE,U.S. Senate,,Write-In,,0
Adair,12,FEDERAL,U.S. Senate,,David Kirk,,0
Adair,12,FEDERAL,U.S. Senate,,Eric Schmitt,REP,0
Adair,12,FEDERAL,U.S. Senate,,Gina Bufe,,0
Adair,12,FEDERAL,U.S. Senate,,Jonathan Dine,LIB,0
Adair,12,FEDERAL,U.S. Senate,,Martin Lindstedt,,0
Adair,12,FEDERAL,U.S. Senate,,Nathan Mooney,,0
Adair,12,FEDERAL,U.S. Senate,,Paul Venable,OTH,0
Adair,12,FEDERAL,U.S. Senate,,Rik Combs,,0
Adair,12,FEDERAL,U.S. Senate,,Steve Price,,0
Adair,12,FEDERAL,U.S. Senate,,Theo Brown,,0
Adair,12,FEDERAL,U.S. Senate,,Trudy Busch Valentine,DEM,0
Adair,12,FEDERAL,U.S. Senate,,Write-In,,0
Adair,2,SE2-REHOBOTH,U.S. Senate,,David Kirk,,0
Adair,2,SE2-REHOBOTH,U.S. Senate,,Eric Schmitt,REP,549
Adair,2,SE2-REHOBOTH,U.S. Senate,,Gina Bufe,,0
Adair,2,SE2-REHOBOTH,U.S. Senate,,Jonathan Dine,LIB,17
Adair,2,SE2-REHOBOTH,U.S. Senate,,Martin Lindstedt,,0
Adair,2,SE2-REHOBOTH,U.S. Senate,,Nathan Mooney,,0
Adair,2,SE2-REHOBOTH,U.S. Senate,,Paul Venable,OTH,4
Adair,2,SE2-REHOBOTH,U.S. Senate,,Rik Combs,,0
Adair,2,SE2-REHOBOTH,U.S. Senate,,Steve Price,,0
Adair,2,SE2-REHOBOTH,U.S. Senate,,Theo Brown,,0
Adair,2,SE2-REHOBOTH,U.S. Senate,,Trudy Busch Valentine,DEM,304
Adair,2,SE2-REHOBOTH,U.S. Senate,,Write-In,,0
Adair,3,SE3-MOOSE,U.S. Senate,,David Kirk,,0
Adair,3,SE3-MOOSE,U.S. Senate,,Eric Schmitt,REP,118
Adair,3,SE3-MOOSE,U.S. Senate,,Gina Bufe,,0
Adair,3,SE3-MOOSE,U.S. Senate,,Jonathan Dine,LIB,11
Adair,3,SE3-MOOSE,U.S. Senate,,Martin Lindstedt,,0
Adair,3,SE3-MOOSE,U.S. Senate,,Nathan Mooney,,0
Adair,3,SE3-MOOSE,U.S. Senate,,Paul Venable,OTH,4
Adair,3,SE3-MOOSE,U.S. Senate,,Rik Combs,,0
Adair,3,SE3-MOOSE,U.S. Senate,,Steve Price,,0
Adair,3,SE3-MOOSE,U.S. Senate,,Theo Brown,,0
Adair,3,SE3-MOOSE,U.S. Senate,,Trudy Busch Valentine,DEM,186
Adair,3,SE3-MOOSE,U.S. Senate,,Write-In,,0
Adair,4,NE4-ANNEX,U.S. Senate,,David Kirk,,0
Adair,4,NE4-ANNEX,U.S. Senate,,Eric Schmitt,REP,242
Adair,4,NE4-ANNEX,U.S. Senate,,Gina Bufe,,0
Adair,4,NE4-ANNEX,U.S. Senate,,Jonathan Dine,LIB,14
Adair,4,NE4-ANNEX,U.S. Senate,,Martin Lindstedt,,0
Adair,4,NE4-ANNEX,U.S. Senate,,Nathan Mooney,,0
Adair,4,NE4-ANNEX,U.S. Senate,,Paul Venable,OTH,6
Adair,4,NE4-ANNEX,U.S. Senate,,Rik Combs,,0
Adair,4,NE4-ANNEX,U.S. Senate,,Steve Price,,0
Adair,4,NE4-ANNEX,U.S. Senate,,Theo Brown,,0
Adair,4,NE4-ANNEX,U.S. Senate,,Trudy Busch Valentine,DEM,258
Adair,4,NE4-ANNEX,U.S. Senate,,Write-In,,0
Adair,5,NE5-MOOSE5,U.S. Senate,,David Kirk,,0
Adair,5,NE5-MOOSE5,U.S. Senate,,Eric Schmitt,REP,293
Adair,5,NE5-MOOSE5,U.S. Senate,,Gina Bufe,,0
Adair,5,NE5-MOOSE5,U.S. Senate,,Jonathan Dine,LIB,3
Adair,5,NE5-MOOSE5,U.S. Senate,,Martin Lindstedt,,0
Adair,5,NE5-MOOSE5,U.S. Senate,,Nathan Mooney,,0
Adair,5,NE5-MOOSE5,U.S. Senate,,Paul Venable,OTH,1
Adair,5,NE5-MOOSE5,U.S. Senate,,Rik Combs,,0
Adair,5,NE5-MOOSE5,U.S. Senate,,Steve Price,,0
Adair,5,NE5-MOOSE5,U.S. Senate,,Theo Brown,,0
Adair,5,NE5-MOOSE5,U.S. Senate,,Trudy Busch Valentine,DEM,195
Adair,5,NE5-MOOSE5,U.S. Senate,,Write-In,,0
Adair,6,NE6-NAZARENE,U.S. Senate,,David Kirk,,0
Adair,6,NE6-NAZARENE,U.S. Senate,,Eric Schmitt,REP,472
Adair,6,NE6-NAZARENE,U.S. Senate,,Gina Bufe,,0
Adair,6,NE6-NAZARENE,U.S. Senate,,Jonathan Dine,LIB,16
Adair,6,NE6-NAZARENE,U.S. Senate,,Martin Lindstedt,,0
Adair,6,NE6-NAZARENE,U.S. Senate,,Nathan Mooney,,0
Adair,6,NE6-NAZARENE,U.S. Senate,,Paul Venable,OTH,4
Adair,6,NE6-NAZARENE,U.S. Senate,,Rik Combs,,0
Adair,6,NE6-NAZARENE,U.S. Senate,,Steve Price,,0
Adair,6,NE6-NAZARENE,U.S. Senate,,Theo Brown,,0
Adair,6,NE6-NAZARENE,U.S. Senate,,Trudy Busch Valentine,DEM,271
Adair,6,NE6-NAZARENE,U.S. Senate,,Write-In,,0
Adair,7,TSU,U.S. Senate,,David Kirk,,0
