county,precinct_code,precinct,office,district,candidate,party,votes
Adair,1,SW1-CORNERSTONE,Constitutional Amendment 1,,No,,208
Adair,1,SW1-CORNERSTONE,Constitutional Amendment 1,,Yes,,110
Adair,10,NOVINGER,Constitutional Amendment 1,,No,,439
Adair,10,NOVINGER,Constitutional Amendment 1,,Yes,,216
Adair,11,ABSENTEE,Constitutional Amendment 1,,No,,705
Adair,11,ABSENTEE,Constitutional Amendment 1,,Yes,,455
Adair,12,FEDERAL,Constitutional Amendment 1,,No,,0
Adair,12,FEDERAL,Constitutional Amendment 1,,Yes,,0
Adair,2,SE2-REHOBOTH,Constitutional Amendment 1,,No,,443
Adair,2,SE2-REHOBOTH,Constitutional Amendment 1,,Yes,,384
Adair,3,SE3-MOOSE,Constitutional Amendment 1,,No,,171
Adair,3,SE3-MOOSE,Constitutional Amendment 1,,Yes,,127
Adair,4,NE4-ANNEX,Constitutional Amendment 1,,No,,278
Adair,4,NE4-ANNEX,Constitutional Amendment 1,,Yes,,207
Adair,5,NE5-MOOSE5,Constitutional Amendment 1,,No,,259
Adair,5,NE5-MOOSE5,Constitutional Amendment 1,,Yes,,203
Adair,6,NE6-NAZARENE,Constitutional Amendment 1,,No,,450
Adair,6,NE6-NAZARENE,Constitutional Amendment 1,,Yes,,280
Adair,7,TSU,Constitutional Amendment 1,,No,,16
Adair,7,TSU,Constitutional Amendment 1,,Yes,,26
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Amendment 1,,No,,663
Adair,8,RURAL BENTON-CONSERVATION DEPT,Constitutional Amendment 1,,Yes,,445
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Amendment 1,,No,,401
Adair,9,BRASHEAR-NEMO FAIRGROUNDS,Constitutional Amendment 1,,Yes,,194
Adair,1,SW1-CORNERSTONE,Constitutional Amendment 3,,No,,153
Adair,1,SW1-CORNERSTONE,Constitutional Amendment 3,,Yes,,191
Adair,10,NOVINGER,Constitutional Amendment 3,,No,,446
Adair,10,NOVINGER,Constitutional Amendment 3,,Yes,,255
Adair,11,ABSENTEE,Constitutional Amendment 3,,No,,700
Adair,11,ABSENTEE,Constitutional Amendment 3,,Yes,,512
Adair,12,FEDERAL,Constitutional Amendment 3,,No,,0
Adair,12,FEDERAL,Constitutional Amendment 3,,Yes,,0
Adair,2,SE2-REHOBOTH,Constitutional Amendment 3,,No,,513
Adair,2,SE2-REHOBOTH,Constitutional Amendment 3,,Yes,,356
