county,precinct,office,district,party,candidate,votes
Adair,101 SOUTHWEST ONE/BENTON,President,,DEM,"Barack Obama, Joe Biden",269
Adair,102 SOUTHEAST TWO/BENTON,President,,DEM,"Barack Obama, Joe Biden",476
Adair,103 SOUTHEAST THREE/BENTON,President,,DEM,"Barack Obama, Joe Biden",406
Adair,104 NORTHEAST FOUR/BENTON,President,,DEM,"Barack Obama, Joe Biden",410
Adair,105 NORTHEAST FIVE/BENTON,President,,DEM,"Barack Obama, Joe Biden",293
Adair,106 NORTHEAST SIX/BENTON,President,,DEM,"Barack Obama, Joe Biden",356
Adair,107 TSU/BENTON,President,,DEM,"Barack Obama, Joe Biden",287
Adair,108 RURAL BENTON/BENTON,President,,DEM,"Barack Obama, Joe Biden",459
Adair,0998 FEDERAL,President,,DEM,"Barack Obama, Joe Biden",6
Adair,0999 ABSENTEE,President,,DEM,"Barack Obama, Joe Biden",745
Adair,0010 NOVINGER,President,,DEM,"Barack Obama, Joe Biden",286
Adair,0009 BRASHEAR,President,,DEM,"Barack Obama, Joe Biden",226
Adair,101 SOUTHWEST ONE/BENTON,President,,REP,"Mitt Romney, Paul Ryan",281
Adair,102 SOUTHEAST TWO/BENTON,President,,REP,"Mitt Romney, Paul Ryan",626
Adair,103 SOUTHEAST THREE/BENTON,President,,REP,"Mitt Romney, Paul Ryan",276
Adair,104 NORTHEAST FOUR/BENTON,President,,REP,"Mitt Romney, Paul Ryan",394
Adair,105 NORTHEAST FIVE/BENTON,President,,REP,"Mitt Romney, Paul Ryan",423
Adair,106 NORTHEAST SIX/BENTON,President,,REP,"Mitt Romney, Paul Ryan",544
Adair,107 TSU/BENTON,President,,REP,"Mitt Romney, Paul Ryan",177
Adair,108 RURAL BENTON/BENTON,President,,REP,"Mitt Romney, Paul Ryan",934
Adair,0998 FEDERAL,President,,REP,"Mitt Romney, Paul Ryan",4
Adair,0999 ABSENTEE,President,,REP,"Mitt Romney, Paul Ryan",937
Adair,0010 NOVINGER,President,,REP,"Mitt Romney, Paul Ryan",551
Adair,0009 BRASHEAR,President,,REP,"Mitt Romney, Paul Ryan",504
Adair,101 SOUTHWEST ONE/BENTON,President,,LIB,"Gary Johnson, James P. Gray",17
Adair,102 SOUTHEAST TWO/BENTON,President,,LIB,"Gary Johnson, James P. Gray",23
Adair,103 SOUTHEAST THREE/BENTON,President,,LIB,"Gary Johnson, James P. Gray",25
Adair,104 NORTHEAST FOUR/BENTON,President,,LIB,"Gary Johnson, James P. Gray",28
Adair,105 NORTHEAST FIVE/BENTON,President,,LIB,"Gary Johnson, James P. Gray",18
Adair,106 NORTHEAST SIX/BENTON,President,,LIB,"Gary Johnson, James P. Gray",14
Adair,107 TSU/BENTON,President,,LIB,"Gary Johnson, James P. Gray",25
Adair,108 RURAL BENTON/BENTON,President,,LIB,"Gary Johnson, James P. Gray",20
Adair,0998 FEDERAL,President,,LIB,"Gary Johnson, James P. Gray",0
Adair,0999 ABSENTEE,President,,LIB,"Gary Johnson, James P. Gray",22
Adair,0010 NOVINGER,President,,LIB,"Gary Johnson, James P. Gray",16
Adair,0009 BRASHEAR,President,,LIB,"Gary Johnson, James P. Gray",17
Adair,101 SOUTHWEST ONE/BENTON,President,,CST,"Virgil Goode, Jim Clymer",0
Adair,102 SOUTHEAST TWO/BENTON,President,,CST,"Virgil Goode, Jim Clymer",3
Adair,103 SOUTHEAST THREE/BENTON,President,,CST,"Virgil Goode, Jim Clymer",0
Adair,104 NORTHEAST FOUR/BENTON,President,,CST,"Virgil Goode, Jim Clymer",6
Adair,105 NORTHEAST FIVE/BENTON,President,,CST,"Virgil Goode, Jim Clymer",0
Adair,106 NORTHEAST SIX/BENTON,President,,CST,"Virgil Goode, Jim Clymer",4
Adair,107 TSU/BENTON,President,,CST,"Virgil Goode, Jim Clymer",2
Adair,108 RURAL BENTON/BENTON,President,,CST,"Virgil Goode, Jim Clymer",5
Adair,0998 FEDERAL,President,,CST,"Virgil Goode, Jim Clymer",0
Adair,0999 ABSENTEE,President,,CST,"Virgil Goode, Jim Clymer",4
Adair,0010 NOVINGER,President,,CST,"Virgil Goode, Jim Clymer",1
Adair,0009 BRASHEAR,President,,CST,"Virgil Goode, Jim Clymer",6
Adair,101 SOUTHWEST ONE/BENTON,U.S. Senate,,DEM,Claire McCaskill,337
Adair,102 SOUTHEAST TWO/BENTON,U.S. Senate,,DEM,Claire McCaskill,597
Adair,103 SOUTHEAST THREE/BENTON,U.S. Senate,,DEM,Claire McCaskill,476
Adair,104 NORTHEAST FOUR/BENTON,U.S. Senate,,DEM,Claire McCaskill,520
Adair,105 NORTHEAST FIVE/BENTON,U.S. Senate,,DEM,Claire McCaskill,414
Adair,106 NORTHEAST SIX/BENTON,U.S. Senate,,DEM,Claire McCaskill,502
Adair,107 TSU/BENTON,U.S. Senate,,DEM,Claire McCaskill,328
Adair,108 RURAL BENTON/BENTON,U.S. Senate,,DEM,Claire McCaskill,646
Adair,0998 FEDERAL,U.S. Senate,,DEM,Claire McCaskill,6
Adair,0999 ABSENTEE,U.S. Senate,,DEM,Claire McCaskill,881
Adair,0010 NOVINGER,U.S. Senate,,DEM,Claire McCaskill,405
Adair,0009 BRASHEAR,U.S. Senate,,DEM,Claire McCaskill,345
Adair,00 WRITE IN,U.S. Senate,,DEM,Claire McCaskill,0
Adair,101 SOUTHWEST ONE/BENTON,U.S. Senate,,REP,Todd Akin,195
Adair,102 SOUTHEAST TWO/BENTON,U.S. Senate,,REP,Todd Akin,461
Adair,103 SOUTHEAST THREE/BENTON,U.S. Senate,,REP,Todd Akin,192
Adair,104 NORTHEAST FOUR/BENTON,U.S. Senate,,REP,Todd Akin,273
Adair,105 NORTHEAST FIVE/BENTON,U.S. Senate,,REP,Todd Akin,275
Adair,106 NORTHEAST SIX/BENTON,U.S. Senate,,REP,Todd Akin,375
Adair,107 TSU/BENTON,U.S. Senate,,REP,Todd Akin,113
Adair,108 RURAL BENTON/BENTON,U.S. Senate,,REP,Todd Akin,661
Adair,0998 FEDERAL,U.S. Senate,,REP,Todd Akin,2
Adair,0999 ABSENTEE,U.S. Senate,,REP,Todd Akin,746
Adair,0010 NOVINGER,U.S. Senate,,REP,Todd Akin,381
Adair,0009 BRASHEAR,U.S. Senate,,REP,Todd Akin,344
Adair,00 WRITE IN,U.S. Senate,,REP,Todd Akin,0
Adair,101 SOUTHWEST ONE/BENTON,U.S. Senate,,LIB,Jonathan Dine,35
Adair,102 SOUTHEAST TWO/BENTON,U.S. Senate,,LIB,Jonathan Dine,53
Adair,103 SOUTHEAST THREE/BENTON,U.S. Senate,,LIB,Jonathan Dine,34
Adair,104 NORTHEAST FOUR/BENTON,U.S. Senate,,LIB,Jonathan Dine,41
Adair,105 NORTHEAST FIVE/BENTON,U.S. Senate,,LIB,Jonathan Dine,43
Adair,106 NORTHEAST SIX/BENTON,U.S. Senate,,LIB,Jonathan Dine,37
Adair,107 TSU/BENTON,U.S. Senate,,LIB,Jonathan Dine,43
Adair,108 RURAL BENTON/BENTON,U.S. Senate,,LIB,Jonathan Dine,85
Adair,0998 FEDERAL,U.S. Senate,,LIB,Jonathan Dine,0
Adair,0999 ABSENTEE,U.S. Senate,,LIB,Jonathan Dine,62
Adair,0010 NOVINGER,U.S. Senate,,LIB,Jonathan Dine,53
Adair,0009 BRASHEAR,U.S. Senate,,LIB,Jonathan Dine,59
Adair,00 WRITE IN,U.S. Senate,,LIB,Jonathan Dine,0
Adair,101 SOUTHWEST ONE/BENTON,U.S. Senate,,WI,William Dean,0
Adair,102 SOUTHEAST TWO/BENTON,U.S. Senate,,WI,William Dean,0
Adair,103 SOUTHEAST THREE/BENTON,U.S. Senate,,WI,William Dean,0
Adair,105 NORTHEAST FIVE/BENTON,U.S. Senate,,WI,William Dean,0
Adair,106 NORTHEAST SIX/BENTON,U.S. Senate,,WI,William Dean,0
Adair,107 TSU/BENTON,U.S. Senate,,WI,William Dean,0
Adair,108 RURAL BENTON/BENTON,U.S. Senate,,WI,William Dean,0
Adair,0998 FEDERAL,U.S. Senate,,WI,William Dean,0
Adair,0999 ABSENTEE,U.S. Senate,,WI,William Dean,0
Adair,0010 NOVINGER,U.S. Senate,,WI,William Dean,0
Adair,0009 BRASHEAR,U.S. Senate,,WI,William Dean,0
Adair,00 WRITE IN,U.S. Senate,,WI,William Dean,0
