county,ward,precinct,office,last name,first name,candidate,party,votes
ADAIR,,BRASHEAR,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,150
ADAIR,,FEDERAL,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,0
ADAIR,,GIBBS,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,81
ADAIR,,MILLARD,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,96
ADAIR,,NE BENTON-4,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,597
ADAIR,,NE BENTON-5,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,424
ADAIR,,NE BENTON-6,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,570
ADAIR,,NOVINGER,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,361
ADAIR,,RURAL BENTON,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,794
ADAIR,,SE BENTON-2,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,657
ADAIR,,SE BENTON-3,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,471
ADAIR,,SUBLETTE,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,152
ADAIR,,SW BENTON-1,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,372
ADAIR,,TSU-BENTON,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,434
ADAIR,,UNION TEMPLE,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,48
ADAIR,,WILLMATHSVILLE,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,87
ADAIR,,YARROW,Attorney General,Nixon,Jeremiah W. (Jay),,DEM,63
ADAIR,,BRASHEAR,Attorney General,Jones,Sam,,REP,135
ADAIR,,FEDERAL,Attorney General,Jones,Sam,,REP,0
ADAIR,,GIBBS,Attorney General,Jones,Sam,,REP,105
ADAIR,,MILLARD,Attorney General,Jones,Sam,,REP,87
ADAIR,,NE BENTON-4,Attorney General,Jones,Sam,,REP,392
ADAIR,,NE BENTON-5,Attorney General,Jones,Sam,,REP,320
ADAIR,,NE BENTON-6,Attorney General,Jones,Sam,,REP,417
ADAIR,,NOVINGER,Attorney General,Jones,Sam,,REP,356
ADAIR,,RURAL BENTON,Attorney General,Jones,Sam,,REP,692
ADAIR,,SE BENTON-2,Attorney General,Jones,Sam,,REP,493
ADAIR,,SE BENTON-3,Attorney General,Jones,Sam,,REP,318
ADAIR,,SUBLETTE,Attorney General,Jones,Sam,,REP,136
ADAIR,,SW BENTON-1,Attorney General,Jones,Sam,,REP,296
ADAIR,,TSU-BENTON,Attorney General,Jones,Sam,,REP,273
ADAIR,,UNION TEMPLE,Attorney General,Jones,Sam,,REP,66
ADAIR,,WILLMATHSVILLE,Attorney General,Jones,Sam,,REP,91
ADAIR,,YARROW,Attorney General,Jones,Sam,,REP,67
ADAIR,,BRASHEAR,Attorney General,Moore,Mitch,,LIB,10
ADAIR,,FEDERAL,Attorney General,Moore,Mitch,,LIB,0
ADAIR,,GIBBS,Attorney General,Moore,Mitch,,LIB,3
ADAIR,,MILLARD,Attorney General,Moore,Mitch,,LIB,5
ADAIR,,NE BENTON-4,Attorney General,Moore,Mitch,,LIB,47
ADAIR,,NE BENTON-5,Attorney General,Moore,Mitch,,LIB,9
ADAIR,,NE BENTON-6,Attorney General,Moore,Mitch,,LIB,20
ADAIR,,NOVINGER,Attorney General,Moore,Mitch,,LIB,23
ADAIR,,RURAL BENTON,Attorney General,Moore,Mitch,,LIB,25
ADAIR,,SE BENTON-2,Attorney General,Moore,Mitch,,LIB,24
ADAIR,,SE BENTON-3,Attorney General,Moore,Mitch,,LIB,21
ADAIR,,SUBLETTE,Attorney General,Moore,Mitch,,LIB,7
