county,precinct,office,district,party,candidate,votes
Adair,SOUTHWEST 1,U.S. Senate,,REP,Josh Hawley,261
Adair,SOUTHEAST 2,U.S. Senate,,REP,Josh Hawley,613
Adair,SOUTHEAST 3,U.S. Senate,,REP,Josh Hawley,174
Adair,SOUTHEAST 4,U.S. Senate,,REP,Josh Hawley,308
Adair,NORTHEAST 5,U.S. Senate,,REP,Josh Hawley,375
Adair,NORTHEAST 6,U.S. Senate,,REP,Josh Hawley,516
Adair,TSU,U.S. Senate,,REP,Josh Hawley,56
Adair,RURAL BENTON,U.S. Senate,,REP,Josh Hawley,933
Adair,BRASHEAR,U.S. Senate,,REP,Josh Hawley,507
Adair,NOVINGER,U.S. Senate,,REP,Josh Hawley,593
Adair,ABSENTEE,U.S. Senate,,REP,Josh Hawley,601
Adair,FEDERAL,U.S. Senate,,REP,Josh Hawley,2
Adair,SOUTHWEST 1,U.S. Senate,,DEM,Claire McCaskill,232
Adair,SOUTHEAST 2,U.S. Senate,,DEM,Claire McCaskill,468
Adair,SOUTHEAST 3,U.S. Senate,,DEM,Claire McCaskill,345
Adair,SOUTHEAST 4,U.S. Senate,,DEM,Claire McCaskill,389
Adair,NORTHEAST 5,U.S. Senate,,DEM,Claire McCaskill,277
Adair,NORTHEAST 6,U.S. Senate,,DEM,Claire McCaskill,365
Adair,TSU,U.S. Senate,,DEM,Claire McCaskill,213
Adair,RURAL BENTON,U.S. Senate,,DEM,Claire McCaskill,418
Adair,BRASHEAR,U.S. Senate,,DEM,Claire McCaskill,170
Adair,NOVINGER,U.S. Senate,,DEM,Claire McCaskill,189
Adair,ABSENTEE,U.S. Senate,,DEM,Claire McCaskill,428
Adair,FEDERAL,U.S. Senate,,DEM,Claire McCaskill,0
Adair,SOUTHWEST 1,U.S. Senate,,LIB,Japheth Campbell,4
Adair,SOUTHEAST 2,U.S. Senate,,LIB,Japheth Campbell,13
Adair,SOUTHEAST 3,U.S. Senate,,LIB,Japheth Campbell,6
Adair,SOUTHEAST 4,U.S. Senate,,LIB,Japheth Campbell,12
Adair,NORTHEAST 5,U.S. Senate,,LIB,Japheth Campbell,4
Adair,NORTHEAST 6,U.S. Senate,,LIB,Japheth Campbell,5
Adair,TSU,U.S. Senate,,LIB,Japheth Campbell,9
Adair,RURAL BENTON,U.S. Senate,,LIB,Japheth Campbell,12
Adair,BRASHEAR,U.S. Senate,,LIB,Japheth Campbell,7
Adair,NOVINGER,U.S. Senate,,LIB,Japheth Campbell,7
