county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Missouri,MISSOURI,6155074,6172551,6179285,6205956,6243544,6270541,115467,1.875964,26997,0.432399
Adair County,ADAIR,25276,25187,25124,25168,25617,25684,408,1.614179,67,0.261545
Andrew County,ANDREW,18109,18029,18026,18137,18115,18241,132,0.728919,126,0.695556
Atchison County,ATCHISON,5307,5215,5168,5133,5167,5175,-132,-2.487281,8,0.154829
Audrain County,AUDRAIN,24778,24852,24468,24412,24344,24528,-250,-1.008960,184,0.755833
Barry County,BARRY,34549,34778,34968,35373,35730,36200,1651,4.778720,470,1.315421
Barton County,BARTON,11624,11671,11693,11756,11750,11795,171,1.471094,45,0.382979
Bates County,BATES,16052,16094,16147,16259,16448,16512,460,2.865687,64,0.389105
Benton County,BENTON,19431,19963,20239,20568,20536,20536,1105,5.686789,0,0.000000
Bollinger County,BOLLINGER,10556,10581,10508,10524,10570,10646,90,0.852596,76,0.719016
Boone County,BOONE,184060,186113,187514,189530,190897,191746,7686,4.175812,849,0.444742
Buchanan County,BUCHANAN,84471,83641,83011,83251,83598,83540,-931,-1.102153,-58,-0.069380
Butler County,BUTLER,42064,42167,42133,41925,41899,41904,-160,-0.380373,5,0.011933
Caldwell County,CALDWELL,8826,8911,8945,8962,8971,9012,186,2.107410,41,0.457028
Callaway County,CALLAWAY,44339,44644,44742,44789,45239,45765,1426,3.216130,526,1.162714
Camden County,CAMDEN,42804,43529,43799,44119,44195,44047,1243,2.903934,-148,-0.334880
Cape Girardeau County,CAPE GIRARDEAU,81811,82136,82877,82969,83457,83999,2188,2.674457,542,0.649436
Carroll County,CARROLL,8466,8399,8409,8363,8413,8417,-49,-0.578786,4,0.047545
Carter County,CARTER,5201,5320,5264,5328,5363,5418,217,4.172275,55,1.025545
Cass County,CASS,108160,109808,110369,111737,113944,115859,7699,7.118158,1915,1.680650
Cedar County,CEDAR,14210,14517,14607,14674,14928,14888,678,4.771288,-40,-0.267953
Chariton County,CHARITON,7386,7363,7387,7401,7390,7377,-9,-0.121852,-13,-0.175913
Christian County,CHRISTIAN,89291,91667,93155,94498,96036,96725,7434,8.325587,689,0.717439
Clark County,CLARK,6664,6746,6728,6642,6584,6475,-189,-2.836134,-109,-1.655529
Clay County,CLAY,254121,255910,257034,259937,262674,265032,10911,4.293624,2358,0.897691
Clinton County,CLINTON,21214,21215,21328,21530,21692,21661,447,2.107099,-31,-0.142910
Cole County,COLE,76608,76632,76952,77295,77763,77908,1300,1.696951,145,0.186464
Cooper County,COOPER,16643,16684,16727,16943,17136,17136,493,2.962206,0,0.000000
Crawford County,CRAWFORD,23030,22822,22609,22729,22839,22929,-101,-0.438558,90,0.394063
Dade County,DADE,7585,7603,7682,7723,7639,7804,219,2.887278,165,2.159969
Dallas County,DALLAS,17133,17348,17602,17765,17858,18025,892,5.206327,167,0.935155
Daviess County,DAVIESS,8435,8407,8457,8545,8508,8558,123,1.458210,50,0.587682
DeKalb County,DEKALB,11605,11700,11299,9893,9882,9795,-1810,-15.596726,-87,-0.880389
Dent County,DENT,14392,14461,14470,14647,14661,14584,192,1.334074,-77,-0.525203
Douglas County,DOUGLAS,11604,11746,11966,12240,12276,12342,738,6.359876,66,0.537634
Dunklin County,DUNKLIN,28216,27752,27460,27082,27057,26855,-1361,-4.823504,-202,-0.746572
Franklin County,FRANKLIN,104852,105315,105854,106440,107387,108090,3238,3.088162,703,0.654642
Gasconade County,GASCONADE,14763,14782,14799,14731,14709,14784,21,0.142248,75,0.509892
Gentry County,GENTRY,6129,6183,6282,6303,6310,6384,255,4.160548,74,1.172742
Greene County,GREENE,299328,301133,303279,304786,307174,309286,9958,3.326785,2112,0.687558
Grundy County,GRUNDY,9764,9765,9823,9808,9749,9744,-20,-0.204834,-5,-0.051287
Harrison County,HARRISON,8158,8179,8208,8225,8236,8281,123,1.507722,45,0.546382
Henry County,HENRY,21976,22212,22389,22448,22565,22671,695,3.162541,106,0.469754
Hickory County,HICKORY,8306,8599,8611,8796,8889,9044,738,8.885143,155,1.743728
Holt County,HOLT,4183,4226,4256,4264,4218,4200,17,0.406407,-18,-0.426743
Howard County,HOWARD,10154,10140,10160,10111,10131,10180,26,0.256057,49,0.483664
Howell County,HOWELL,39800,40028,40604,40725,40884,40798,998,2.507538,-86,-0.210351
Iron County,IRON,9512,9433,9411,9458,9413,9318,-194,-2.039529,-95,-1.009243
Jackson County,JACKSON,717643,718158,717037,721035,729123,732994,15351,2.139086,3871,0.530912
Jasper County,JASPER,122885,123314,123971,125127,126469,127428,4543,3.696952,959,0.758289
Jefferson County,JEFFERSON,226944,228062,229270,231207,232134,233132,6188,2.726664,998,0.429924
Johnson County,JOHNSON,54023,54209,54406,55051,55824,56670,2647,4.899765,846,1.515477
Knox County,KNOX,3733,3779,3767,3722,3708,3728,-5,-0.133941,20,0.539374
Laclede County,LACLEDE,36046,36168,36320,36647,36689,36943,897,2.488487,254,0.692306
Lafayette County,LAFAYETTE,33059,32852,32944,33216,33432,33531,472,1.427750,99,0.296123
Lawrence County,LAWRENCE,37990,38274,38671,38902,39209,39401,1411,3.714135,192,0.489683
Lewis County,LEWIS,10042,10005,9891,9834,9853,9879,-163,-1.623183,26,0.263879
Lincoln County,LINCOLN,59842,61642,63156,64641,65778,66676,6834,11.420073,898,1.365198
Linn County,LINN,11854,11843,11840,11791,11874,11815,-39,-0.329003,-59,-0.496884
Livingston County,LIVINGSTON,14555,14760,14494,14608,14686,14708,153,1.051185,22,0.149803
McDonald County,MCDONALD,23281,23437,23600,23985,23825,23992,711,3.053993,167,0.700944
Macon County,MACON,15199,15185,15082,15189,15183,15190,-9,-0.059214,7,0.046104
Madison County,MADISON,12623,12665,12752,12727,12844,12858,235,1.861681,14,0.109000
Maries County,MARIES,8455,8426,8441,8452,8494,8397,-58,-0.685985,-97,-1.141983
Marion County,MARION,28480,28556,28472,28270,28408,28525,45,0.158006,117,0.411856
Mercer County,MERCER,3516,3482,3471,3490,3414,3404,-112,-3.185438,-10,-0.292912
Miller County,MILLER,24772,24945,25373,25560,25683,25817,1045,4.218472,134,0.521746
Mississippi County,MISSISSIPPI,12133,12100,11696,11842,11948,12003,-130,-1.071458,55,0.460328
Moniteau County,MONITEAU,15223,15306,15234,15248,15427,15428,205,1.346647,1,0.006482
Monroe County,MONROE,8692,8706,8644,8719,8857,8959,267,3.071790,102,1.151631
Montgomery County,MONTGOMERY,11293,11450,11471,11464,11556,11590,297,2.629948,34,0.294219
Morgan County,MORGAN,20997,21434,21764,21954,22361,22418,1421,6.767633,57,0.254908
New Madrid County,NEW MADRID,16329,16044,15691,15415,15281,15086,-1243,-7.612224,-195,-1.276094
Newton County,NEWTON,58702,59449,60079,60733,61608,62263,3561,6.066233,655,1.063174
Nodaway County,NODAWAY,21021,21018,20730,20709,20296,20174,-847,-4.029304,-122,-0.601104
Oregon County,OREGON,8605,8619,8694,8708,8664,8709,104,1.208600,45,0.519391
Osage County,OSAGE,13250,13392,13389,13462,13469,13611,361,2.724528,142,1.054273
Ozark County,OZARK,8518,8794,8974,8995,9099,9172,654,7.677859,73,0.802286
Pemiscot County,PEMISCOT,15583,15239,14864,14661,14479,14465,-1118,-7.174485,-14,-0.096692
Perry County,PERRY,18971,18982,18885,18938,19113,19093,122,0.643087,-20,-0.104641
Pettis County,PETTIS,43011,43237,43376,43611,43894,44254,1243,2.889958,360,0.820158
Phelps County,PHELPS,44553,44891,45196,45285,45206,45247,694,1.557695,41,0.090696
Pike County,PIKE,17411,17604,17644,17904,18031,17955,544,3.124462,-76,-0.421496
Platte County,PLATTE,107187,108767,110567,111908,113027,114400,7213,6.729361,1373,1.214754
Polk County,POLK,31615,32043,32665,32921,33211,33604,1989,6.291317,393,1.183343
Pulaski County,PULASKI,54005,53820,53781,53754,53892,54442,437,0.809184,550,1.020560
Putnam County,PUTNAM,4686,4695,4653,4648,4562,4546,-140,-2.987623,-16,-0.350723
Ralls County,RALLS,10352,10363,10416,10480,10451,10444,92,0.888717,-7,-0.066979
Randolph County,RANDOLPH,24462,24578,24624,24120,24379,24513,51,0.208487,134,0.549653
Ray County,RAY,23136,23093,23108,23183,23265,23398,262,1.132434,133,0.571674
Reynolds County,REYNOLDS,6077,6084,5991,5966,5920,5992,-85,-1.398716,72,1.216216
Ripley County,RIPLEY,10670,10647,10695,10811,10716,10717,47,0.440487,1,0.009332
St. Charles County,ST. CHARLES,406407,410568,413991,417442,422590,426499,20092,4.943812,3909,0.925010
St. Clair County,ST. CLAIR,9350,9417,9584,9750,9843,9976,626,6.695187,133,1.351214
Ste. Genevieve County,STE. GENEVIEVE,18480,18578,18613,18662,18602,18689,209,1.130952,87,0.467692
St. Francois County,ST. FRANCOIS,66433,67014,66916,67027,67449,67809,1376,2.071260,360,0.533737
St. Louis County,ST. LOUIS,1003365,998850,991719,989977,991666,990911,-12454,-1.241223,-755,-0.076135
Saline County,SALINE,23334,23281,23004,23156,23213,23265,-69,-0.295706,52,0.224012
Schuyler County,SCHUYLER,4006,4017,4011,4060,4073,4140,134,3.344983,67,1.644979
Scotland County,SCOTLAND,4698,4667,4646,4686,4676,4796,98,2.085994,120,2.566296
Scott County,SCOTT,38021,37893,37861,37885,37937,37975,-46,-0.120986,38,0.100166
Shannon County,SHANNON,7034,7097,7219,7252,7284,7285,251,3.568382,1,0.013729
Shelby County,SHELBY,6090,5969,5998,5942,5986,5870,-220,-3.612479,-116,-1.937855
Stoddard County,STODDARD,28656,28531,28370,28344,28384,28284,-372,-1.298157,-100,-0.352311
Stone County,STONE,31212,31603,32144,32664,32570,32503,1291,4.136230,-67,-0.205711
Sullivan County,SULLIVAN,5985,5903,5839,5856,5762,5738,-247,-4.126984,-24,-0.416522
Taney County,TANEY,56053,56352,56748,56830,56882,57001,948,1.691256,119,0.209205
Texas County,TEXAS,24324,24857,25284,25613,25704,25994,1670,6.865647,290,1.128229
Vernon County,VERNON,19659,19580,19582,19747,19778,19946,287,1.459891,168,0.849429
Warren County,WARREN,35740,36578,37314,37842,38527,39016,3276,9.166200,489,1.269240
Washington County,WASHINGTON,23432,23396,23386,23568,23611,23810,378,1.613179,199,0.842827
Wayne County,WAYNE,10937,10924,10805,10832,10851,10782,-155,-1.417208,-69,-0.635886
Webster County,WEBSTER,39012,39608,40367,41476,42084,43054,4042,10.360915,970,2.304914
Worth County,WORTH,1965,1970,1940,1919,1912,1914,-51,-2.595420,2,0.104603
Wright County,WRIGHT,18209,18622,19103,19401,19532,19671,1462,8.028997,139,0.711653
St. Louis city,ST. LOUIS CITY,300302,293553,286509,283190,280445,278144,-22158,-7.378572,-2301,-0.820482
