county,precinct,office,district,candidate,party,votes
ADAIR,001 SW BENTON-1,Attorney General,,Jeremiah Nixon,DEM,433
ADAIR,001 SW BENTON-1,Attorney General,,Christopher Byrd,REP,306
ADAIR,001 SW BENTON-1,Attorney General,,David Browning,LIB,34
ADAIR,001 SW BENTON-1,Attorney General,,David Fry,CST,15
ADAIR,001 SW BENTON-1,Governor,,Claire McCaskill,DEM,282
ADAIR,001 SW BENTON-1,Governor,,Matthew Blunt,REP,518
ADAIR,001 SW BENTON-1,Governor,,John Swenson,LIB,18
ADAIR,001 SW BENTON-1,Governor,,Robert Wells,CST,4
ADAIR,001 SW BENTON-1,Governor,,Kenneth Johnson,WI,0
ADAIR,001 SW BENTON-1,Lieutenant Governor,,Rebecca Cook,DEM,312
ADAIR,001 SW BENTON-1,Lieutenant Governor,,Peter Kinder,REP,444
ADAIR,001 SW BENTON-1,Lieutenant Governor,,Michael Ferguson,LIB,33
ADAIR,001 SW BENTON-1,Lieutenant Governor,,Bruce Hillis,CST,13
ADAIR,001 SW BENTON-1,Secretary Of State,,Robin Carnahan,DEM,415
ADAIR,001 SW BENTON-1,Secretary Of State,,Catherine Hanaway,REP,350
ADAIR,001 SW BENTON-1,Secretary Of State,,Christopher Davis,LIB,30
ADAIR,001 SW BENTON-1,Secretary Of State,,Donna Ivanovich,CST,12
ADAIR,001 SW BENTON-1,State House,2,Laura Gruber,DEM,343
ADAIR,001 SW BENTON-1,State House,2,Robert Behnen,REP,474
ADAIR,001 SW BENTON-1,State Treasurer,,Mark Powell,DEM,349
ADAIR,001 SW BENTON-1,State Treasurer,,Sarah Steelman,REP,399
ADAIR,001 SW BENTON-1,State Treasurer,,Lisa Emerson,LIB,25
ADAIR,001 SW BENTON-1,State Treasurer,,Chris Fluharty,CST,10
ADAIR,001 SW BENTON-1,President,,John F. Kerry,DEM,371
ADAIR,001 SW BENTON-1,President,,George W. Bush,REP,457
ADAIR,001 SW BENTON-1,President,,Michael Badnarik,LIB,7
ADAIR,001 SW BENTON-1,President,,Michael A. Peroutka,CST,2
ADAIR,001 SW BENTON-1,President,,Ralph Nader,WI,0
ADAIR,001 SW BENTON-1,U.S. House,9,Linda Jacobsen,DEM,283
ADAIR,001 SW BENTON-1,U.S. House,9,Kenny Hulshof,REP,491
ADAIR,001 SW BENTON-1,U.S. House,9,Tamara Millay,LIB,23
ADAIR,001 SW BENTON-1,U.S. House,9,Chris Earl,CST,10
ADAIR,001 SW BENTON-1,U.S. Senate,,Nancy Farmer,DEM,248
ADAIR,001 SW BENTON-1,U.S. Senate,,Christopher Bond,REP,553
ADAIR,001 SW BENTON-1,U.S. Senate,,Kevin Tull,LIB,12
ADAIR,001 SW BENTON-1,U.S. Senate,,Don Griffin,CST,4
ADAIR,002 SE BENTON-2,Attorney General,,Jeremiah Nixon,DEM,750
ADAIR,002 SE BENTON-2,Attorney General,,Christopher Byrd,REP,576
ADAIR,002 SE BENTON-2,Attorney General,,David Browning,LIB,24
ADAIR,002 SE BENTON-2,Attorney General,,David Fry,CST,11
ADAIR,002 SE BENTON-2,Governor,,Claire McCaskill,DEM,535
ADAIR,002 SE BENTON-2,Governor,,Matthew Blunt,REP,845
ADAIR,002 SE BENTON-2,Governor,,John Swenson,LIB,9
ADAIR,002 SE BENTON-2,Governor,,Robert Wells,CST,6
ADAIR,002 SE BENTON-2,Governor,,Kenneth Johnson,WI,0
ADAIR,002 SE BENTON-2,Lieutenant Governor,,Rebecca Cook,DEM,561
ADAIR,002 SE BENTON-2,Lieutenant Governor,,Peter Kinder,REP,769
ADAIR,002 SE BENTON-2,Lieutenant Governor,,Michael Ferguson,LIB,21
ADAIR,002 SE BENTON-2,Lieutenant Governor,,Bruce Hillis,CST,10
ADAIR,002 SE BENTON-2,Secretary Of State,,Robin Carnahan,DEM,663
ADAIR,002 SE BENTON-2,Secretary Of State,,Catherine Hanaway,REP,685
ADAIR,002 SE BENTON-2,Secretary Of State,,Christopher Davis,LIB,24
ADAIR,002 SE BENTON-2,Secretary Of State,,Donna Ivanovich,CST,9
ADAIR,002 SE BENTON-2,State House,2,Laura Gruber,DEM,495
ADAIR,002 SE BENTON-2,State House,2,Robert Behnen,REP,895
ADAIR,002 SE BENTON-2,State Treasurer,,Mark Powell,DEM,548
ADAIR,002 SE BENTON-2,State Treasurer,,Sarah Steelman,REP,755
ADAIR,002 SE BENTON-2,State Treasurer,,Lisa Emerson,LIB,15
ADAIR,002 SE BENTON-2,State Treasurer,,Chris Fluharty,CST,11
