ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",36931,-0.022,0.2191,0.7623,0.0187,29079,0.9294,0.0706,0.015,0.0152,0.0159,0.0184,0.0009,
"2",37183,-0.0153,0.1754,0.8059,0.0187,28187,0.941,0.059,0.0156,0.0081,0.0063,0.0229,0.002,
"3",37874,0.003,0.2331,0.7456,0.0213,30275,0.8635,0.1365,0.0454,0.0414,0.0266,0.0224,0.0008,
"4",37294,-0.0123,0.1597,0.8203,0.02,28186,0.9532,0.0468,0.0103,0.0108,0.0051,0.0182,0.0011,
"5",38880,0.0297,0.2055,0.7748,0.0197,30014,0.9061,0.0939,0.0135,0.0425,0.007,0.0233,0.0015,
"6",37644,-0.0031,0.209,0.7726,0.0184,29267,0.8874,0.1126,0.017,0.0558,0.0076,0.0255,0.001,
"7",38608,0.0225,0.1971,0.7839,0.019,30076,0.9326,0.0674,0.0139,0.0184,0.0055,0.0239,0.0009,
"8",38420,0.0175,0.3069,0.6735,0.0195,29131,0.9002,0.0998,0.0294,0.0196,0.0118,0.0313,0.0015,
"9",37840,0.0021,0.2207,0.7556,0.0236,29117,0.9119,0.0881,0.0181,0.032,0.0071,0.026,0.0007,
"10",37451,-0.0082,0.4005,0.5688,0.0307,29023,0.8008,0.1992,0.0647,0.0828,0.0149,0.0312,0.0057,
"11",38745,0.0261,0.3241,0.6506,0.0253,30341,0.8382,0.1618,0.0561,0.0533,0.0185,0.0268,0.0062,
"12",38147,0.0102,0.4926,0.4867,0.0206,28566,0.7661,0.2339,0.061,0.0979,0.0352,0.0293,0.0066,
"13",38797,0.0275,0.3166,0.6667,0.0168,29721,0.8731,0.1269,0.0363,0.0339,0.0195,0.0262,0.0028,
"14",38371,0.0162,0.513,0.4673,0.0197,29667,0.76,0.24,0.0652,0.098,0.0399,0.0266,0.0099,
"15",38417,0.0174,0.521,0.4554,0.0236,30262,0.7538,0.2462,0.0737,0.0974,0.0335,0.0343,0.0087,
"16",37066,-0.0184,0.4736,0.5071,0.0193,27586,0.7738,0.2262,0.069,0.0899,0.0353,0.0289,0.0041,
"17",38465,0.0187,0.4768,0.5006,0.0227,28720,0.7428,0.2572,0.0814,0.1026,0.0345,0.0318,0.0046,
"18",37053,-0.0187,0.5911,0.3841,0.0248,29545,0.694,0.306,0.0903,0.122,0.0561,0.0332,0.0079,
"19",36904,-0.0227,0.7235,0.2456,0.031,27124,0.3671,0.6329,0.4006,0.1331,0.0798,0.0368,0.0039,
"20",38877,0.0296,0.4214,0.5522,0.0264,29049,0.7874,0.2126,0.0698,0.0684,0.016,0.0417,0.013,
"21",38792,0.0273,0.4782,0.482,0.0399,29831,0.7149,0.2851,0.1194,0.0976,0.014,0.0472,0.009,
"22",37933,0.0046,0.7369,0.2347,0.0285,28915,0.3264,0.6736,0.105,0.5347,0.0116,0.0339,0.0044,
"23",36835,-0.0245,0.8288,0.1425,0.0287,26995,0.205,0.795,0.2122,0.5269,0.0415,0.034,0.0041,
"24",37008,-0.0199,0.8208,0.1535,0.0257,34089,0.7024,0.2976,0.0904,0.133,0.0526,0.0263,0.0027,
"25",37069,-0.0183,0.7428,0.2409,0.0163,30969,0.8508,0.1492,0.0457,0.042,0.0367,0.0193,0.0009,
"26",36948,-0.0215,0.8055,0.1689,0.0256,28390,0.3486,0.6514,0.065,0.541,0.0268,0.0299,0.0023,
"27",36655,-0.0293,0.8457,0.1273,0.027,28576,0.3205,0.6795,0.0689,0.5738,0.0207,0.0267,0.0017,
