district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,176592,4563,172048,157954,5809,103,3453,17,318,1960,933,1451,7,1037,4899,7814,141046,2919,138118,128732,4335,61,2635,28,186,550,722,797,14,797,3429,4934
2,176606,6702,169872,152908,7861,59,3950,19,365,2362,763,1435,162,968,5395,10367,134819,4028,130762,119598,6066,51,2658,20,203,875,622,645,59,723,3311,7027
3,178017,2788,175211,166916,2851,301,517,68,427,1383,2364,350,55,2726,863,4279,138648,1767,136859,130613,2672,237,450,36,287,480,1877,150,50,2165,605,3203
4,171195,7203,164030,125157,26180,170,6064,29,862,2275,697,2278,208,1098,8366,28676,141283,5049,136286,106802,20644,152,4921,24,520,1220,595,1176,205,958,6100,22046
5,165060,5844,159181,50984,99014,318,3018,57,1311,2929,510,504,621,1432,3526,102517,132460,3758,128669,46809,74933,236,2709,67,570,2028,486,364,496,1212,3069,77440
6,180808,5489,175319,160183,8136,285,992,33,240,1514,3093,595,248,3626,1587,9898,141684,3334,138350,127760,6074,229,723,32,149,573,2346,245,219,2794,968,6866
7,165307,17566,147684,107360,28014,223,4354,305,711,3727,985,1507,615,1812,5850,32373,134368,11340,123035,93385,21006,203,3565,218,507,2020,823,867,543,1553,4428,23550
8,179817,9902,169905,144547,15527,185,2767,368,852,2452,1543,1495,164,1890,4269,18150,132893,6172,126724,110561,10718,145,1942,189,359,1052,1111,450,142,1408,2392,11910
9,173663,14538,159158,54159,97049,168,1188,70,1143,3159,789,549,728,1692,1747,100918,130067,7046,123013,46137,71446,150,1038,58,905,1593,616,431,520,1286,1472,73574
10,188248,4751,183522,169160,7013,350,1004,120,575,2644,1576,773,309,2244,1779,9959,141358,3002,138389,128465,5719,274,800,121,279,811,1168,448,281,1728,1244,6793
11,175418,22716,152736,126287,16739,391,1665,670,1221,2582,1907,1262,56,2360,2921,19371,131362,12080,119280,102201,11116,283,1350,470,640,1001,1588,671,32,1909,2022,12155
