district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
146,District 146,29310,93.2,1.51,1.77,0.13,0.59,0.0,0.04
147,District 147,31475,82.48,10.83,2.85,0.25,0.86,0.17,0.13
148,District 148,28746,84.83,8.61,1.84,0.03,0.07,0.05,0.11
149,District 149,27764,74.62,19.77,1.37,0.11,0.45,0.03,0.25
150,District 150,26797,85.4,6.42,3.11,0.07,0.19,0.0,0.19
151,District 151,29838,95.62,0.97,1.37,0.04,0.12,0.07,0.01
152,District 152,29341,89.43,4.8,1.72,0.26,0.34,0.01,0.18
153,District 153,30042,94.89,0.34,1.03,0.17,0.1,0.0,0.11
154,District 154,29653,94.4,0.44,2.16,0.11,0.41,0.03,0.21
155,District 155,31871,94.81,0.49,1.92,0.42,0.24,0.0,0.09
156,District 156,29434,88.19,1.57,6.82,0.14,0.55,0.0,0.12
157,District 157,28081,91.5,0.28,4.79,0.43,0.57,0.05,0.02
158,District 158,29459,89.81,0.31,5.67,0.22,1.19,0.03,0.12
159,District 159,27591,86.62,0.8,4.73,1.67,1.33,0.46,0.41
160,District 160,29222,89.58,0.82,4.05,0.89,0.77,0.05,0.2
161,District 161,28231,86.41,3.08,4.74,0.67,1.47,0.07,0.26
162,District 162,26908,89.38,1.39,3.15,0.24,1.62,0.2,0.12
163,District 163,26726,83.1,1.4,10.29,0.8,0.49,0.04,0.33
