district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,723302,26725,696562,311336,340405,663,15587,124,4629,13667,2253,4562,3330,6249,20133,357407,567682,16397,551265,268215,252982,587,12472,152,2682,7040,2029,2662,2440,5057,15129,262479
2,747724,22055,725601,657844,23241,415,24800,187,1865,6633,3920,6541,162,4486,31371,30015,580270,13552,566707,520906,17529,341,18055,154,1179,2566,2965,2922,113,3408,20980,20171
3,767318,24240,743173,671449,35223,890,11238,416,1699,10354,6758,4464,687,8343,15677,46285,602612,15362,587255,536498,27772,726,8830,277,1066,4069,5231,2206,546,6518,11030,32389
4,772263,36680,735574,666725,32417,1548,5760,1148,2793,9964,10000,4878,316,11864,10644,42665,593067,22934,570137,523830,24451,1191,4440,656,1508,3895,7481,2378,303,8970,6815,28669
5,742910,71829,671066,458333,166942,1169,12442,1887,4095,13581,5782,5167,1704,8656,17617,182242,569933,41648,528263,377830,120639,945,9597,1245,2554,6484,4625,2974,1373,6940,12570,128511
6,765931,28819,737121,680026,26023,1357,7005,664,2281,8920,6065,3954,811,8230,10946,35745,587615,18601,569033,529919,20381,1097,5406,452,1336,3047,4706,1918,783,6588,7329,24187
7,768855,42940,725910,671006,13803,3014,8480,1406,2509,8615,12411,4145,526,15952,12625,22944,592270,24577,567685,531022,10069,2296,6018,515,1422,3800,9611,2557,378,12286,8575,14247
8,765852,18411,747449,688158,28425,1364,4294,182,1336,7575,13190,2713,205,14760,7017,36226,591787,11200,580620,539940,20641,1104,3195,190,824,3170,9817,1542,198,11119,4744,24016
