district,CVAP_TOT24
1,28921
2,27970
3,28780
4,27814
5,29725
6,28844
7,29344
8,30074
9,28763
10,27807
11,28599
12,30079
13,29563
14,29802
15,29463
16,27176
17,29476
18,28740
19,23686
20,28096
21,28446
22,26553
23,22408
24,32427
25,28621
26,26223
27,28442
28,28821
29,29310
30,27392
31,27628
32,28795
33,29255
34,28271
35,29088
36,26810
37,28468
38,28361
39,29523
40,30961
41,29571
42,31087
43,29336
44,28512
45,32510
46,26911
47,27344
48,28133
49,31313
50,29565
51,29358
52,26468
53,28445
54,29433
55,30179
56,29782
57,30755
58,28018
59,29329
60,29746
61,29774
62,28859
63,26470
64,29819
65,28669
66,25446
67,29219
68,30136
69,28847
70,27656
71,27644
72,26525
73,25738
74,29855
75,25429
76,26525
77,28175
78,26854
79,27926
80,27955
81,28185
82,31426
83,27789
84,28211
85,26072
86,27357
87,24908
88,28857
89,26527
90,26083
91,27760
92,29031
93,26734
94,29995
95,28975
96,28280
97,29640
98,27884
99,26649
100,27497
101,27973
102,28108
103,27148
104,29472
105,28185
106,30451
107,26846
108,29230
109,30252
110,27661
111,28923
112,28370
113,29917
114,29764
115,29846
116,29667
117,30565
118,30218
119,29879
120,28783
121,30003
122,29439
123,32685
124,28666
125,29243
126,29693
127,27783
128,29613
129,29032
130,29458
131,27662
132,29635
133,30829
134,29538
135,29638
136,30437
137,28054
138,32542
139,29639
140,30021
141,29834
142,29987
143,31380
144,29900
145,29064
146,29082
147,31408
148,28726
149,27787
150,26931
151,30334
152,29233
153,30126
154,29674
155,31482
156,29787
157,28142
158,29382
159,27873
160,29095
161,28308
162,26576
163,27298
