district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,35983,687,35296,34081,483,63,137,5,14,152,245,116,0,308,253,635,28917,486,28431,27489,477,49,122,12,8,52,174,35,13,236,157,542
2,37106,602,36504,35022,324,61,195,16,39,216,471,160,0,532,355,540,27927,392,27535,26721,211,42,95,5,27,33,329,62,10,381,157,254
3,35817,1703,34114,32339,534,118,360,10,44,169,247,286,0,365,646,703,28675,1087,27585,26425,297,69,272,0,58,99,231,129,4,303,401,400
4,37112,304,36812,35388,617,20,58,100,63,186,280,51,43,346,125,847,27949,214,27739,26927,414,13,37,4,10,50,205,31,41,262,89,506
5,38764,676,38088,35435,1382,66,193,0,127,579,216,84,6,288,277,1967,29742,212,29530,27818,1126,42,107,0,45,162,169,46,15,226,153,1303
6,37193,796,36405,33488,1490,38,146,12,129,586,318,185,13,372,331,2095,28812,487,28334,26182,1374,26,131,8,84,141,246,145,0,272,276,1521
7,37750,834,36916,35338,671,63,81,23,76,267,207,144,8,292,222,946,29337,621,28710,27615,607,55,68,13,22,61,168,54,0,234,121,669
8,39236,935,38285,36441,538,83,154,1,54,395,313,145,12,411,313,993,30304,626,29656,28489,419,27,122,0,16,129,291,64,2,328,177,546
9,37324,843,36488,34545,976,40,201,5,100,241,333,56,71,444,235,1249,28904,533,28379,26869,856,50,186,0,51,70,224,9,86,355,195,1009
10,36097,2880,33207,28286,2609,82,345,281,278,593,369,200,102,554,546,3302,27615,1497,26116,22561,2103,89,255,278,70,213,273,117,108,470,376,2423
11,36925,2024,34883,31428,1901,63,143,4,253,637,224,179,0,293,323,2556,28827,1448,27365,25314,1291,60,145,4,134,181,161,53,1,227,193,1486
12,38888,3179,35686,29855,3314,53,925,32,183,509,315,373,5,377,1294,3842,29743,2060,27683,23734,2088,46,741,33,151,281,299,214,1,350,953,2377
13,39233,1794,37447,34445,1112,89,314,27,156,748,289,283,113,485,594,1953,29468,1235,28237,26227,914,48,233,0,127,289,236,130,114,393,362,1300
14,38272,2578,35737,29663,3096,12,1105,21,229,634,330,537,216,553,1647,3936,30115,1847,28280,23971,2241,12,926,0,100,419,223,255,217,448,1185,2875
15,37292,2948,34336,28717,3340,226,762,70,107,672,400,82,4,622,824,3995,29363,1706,27652,23956,2166,157,620,28,28,261,336,73,5,501,685,2436
16,38210,3526,34681,28901,3404,51,646,92,282,586,330,323,74,451,1002,4065,27410,2108,25297,21683,2304,48,492,95,84,79,257,212,70,373,711,2455
17,38345,4543,33797,27738,3673,23,972,52,120,604,315,213,80,420,1191,4321,29548,3363,26187,21960,2685,22,672,43,107,216,208,170,80,310,843,2975
18,35658,2752,32908,24523,3990,50,1666,394,130,1339,307,424,56,422,2095,5395,28655,1844,26809,21321,2653,69,1160,220,122,691,273,279,56,397,1441,3392
19,32737,12101,20775,12673,5446,30,1029,114,135,957,152,153,13,199,1191,6369,23691,6622,17146,11403,3707,25,890,85,128,459,154,145,20,203,1043,4223
20,38090,2834,35254,28786,3822,68,374,386,384,586,480,333,26,572,708,4412,27803,1632,26160,22532,1968,64,313,288,256,254,365,153,4,436,460,2237
21,35758,5315,30412,25257,3238,160,205,157,324,466,502,123,4,660,327,3753,28061,2970,25085,20907,2852,107,138,118,220,293,408,119,0,515,252,3106
22,35585,4122,31507,11210,18420,49,208,10,237,503,249,247,231,497,455,19127,27065,1733,25342,9715,14531,31,138,13,91,309,194,140,111,325,292,14942
23,32265,5968,26131,6558,17907,32,547,11,147,590,163,42,272,461,591,18752,22366,2893,19381,5854,12243,26,463,0,144,301,146,43,254,419,507,12780
24,35737,2705,33030,25178,4453,49,1109,57,210,990,285,491,127,467,1587,5590,32465,2451,30018,23530,3871,44,1012,58,158,533,260,352,135,442,1352,4547
25,35148,1362,33782,30215,1263,64,952,47,112,471,187,480,15,263,1442,1754,28358,1072,27293,24849,952,59,691,42,101,245,146,235,11,209,941,1209
26,35549,2644,32878,13524,17462,44,394,60,294,777,154,67,121,321,467,18385,26777,1634,25122,11332,12438,48,296,48,236,469,158,45,71,283,345,12994
27,37618,2491,35204,13324,20149,111,441,0,50,755,52,197,148,322,647,21039,28222,1476,26767,11084,14502,97,421,0,49,384,49,103,123,273,518,14999
28,36352,3264,33090,17372,14116,12,231,5,148,715,186,215,77,302,431,14970,28851,1650,27211,15246,10962,7,235,5,126,217,144,182,74,234,409,11270
29,37198,2695,34499,27776,4698,33,339,112,318,714,221,347,4,265,682,5442,29127,1767,27369,23615,2708,21,254,50,111,262,210,152,0,235,404,2974
30,36920,2453,34470,30025,2736,52,700,0,50,308,254,385,0,303,1083,3053,27329,1800,25536,22683,1899,35,536,0,14,126,193,74,6,231,609,2032
31,37680,2057,35627,30544,3063,36,506,8,196,620,272,300,100,402,807,3777,27494,1179,26312,23073,2039,16,385,0,109,347,173,91,89,274,477,2470
32,39472,2248,37200,34543,1285,80,219,84,48,396,389,200,5,475,421,1694,29055,891,28145,26533,781,60,194,21,41,90,314,105,4,378,306,870
33,39825,1945,37858,32985,2478,35,627,42,344,658,302,323,0,339,954,3133,29436,1165,28286,25264,1832,34,414,47,95,327,200,45,5,239,457,2167
34,38840,2009,36858,29907,4805,48,419,141,49,577,506,327,43,608,747,5414,28660,1170,27491,23098,3064,58,298,86,22,210,383,190,42,501,487,3315
35,38007,2429,35587,25446,8106,12,572,108,448,400,272,203,21,302,776,8479,28725,1227,27494,20346,6101,4,370,50,281,36,203,90,0,203,464,6125
36,35185,3485,31683,19643,9517,52,725,66,228,599,339,256,263,648,986,10378,27024,1639,25381,16639,7213,45,541,20,115,255,294,76,192,517,617,7654
37,36239,2595,33638,17387,14365,0,377,5,205,838,259,124,93,348,485,15291,28181,1667,26513,14581,10623,0,306,4,114,549,144,79,96,239,374,11275
38,37722,1889,35842,32304,1696,82,604,25,79,498,358,189,0,428,790,2238,28180,1273,26909,24439,1412,77,426,18,74,111,267,97,0,337,521,1532
39,39081,1678,37417,33917,1084,36,1076,4,141,479,312,428,0,358,1491,1556,29192,1097,28117,25677,888,45,700,0,128,291,223,212,0,272,921,1185
40,39988,611,39390,36965,1272,90,113,15,30,365,359,144,5,460,254,1653,30623,383,30252,28559,1045,75,73,6,25,72,263,106,10,353,172,1125
41,40289,1278,38998,37059,693,42,88,54,161,206,311,213,203,550,304,1091,29875,725,29138,27760,596,40,85,55,93,37,232,100,158,425,192,793
42,40392,1420,38973,36989,414,42,140,21,54,237,971,99,8,1021,238,659,31114,849,30266,28924,321,43,153,17,43,125,606,34,0,649,187,446
