district,C_TOT24,C_HSP24,C_NHS24,C_WHT24,C_BLA24,C_AMI24,C_ASI24,C_NHP24,C_2OM24,C_BLW24,C_AIW24,C_ASW24,C_AIB24,C_AIA24,C_ASN24,C_BLK24,CVAP_TOT24,CVAP_HSP24,CVAP_NHS24,CVAP_WHT24,CVAP_BLA24,CVAP_AMI24,CVAP_ASI24,CVAP_NHP24,CVAP_2OM24,CVAP_BLW24,CVAP_AIW24,CVAP_ASW24,CVAP_AIB24,CVAP_AIA24,CVAP_ASN24,CVAP_BLK24
1,727083,26174,700835,319923,337771,680,14071,124,4685,13354,2407,4524,3279,6368,18611,354417,571573,16148,555384,275636,250766,592,11421,152,2726,6937,2102,2642,2405,5101,14057,260110
2,741740,20503,721312,656030,22136,485,24060,277,1642,6701,4020,5782,190,4693,29817,28991,579080,12607,566488,522013,16884,410,17620,171,1062,2442,3145,2585,143,3696,20203,19459
3,771110,26851,744273,660433,42949,677,13887,385,2173,11785,5465,5797,739,6885,19687,55470,599983,16945,583028,524853,33321,568,10676,304,1300,4454,4214,2800,553,5334,13498,38338
4,768806,40107,728657,638367,51278,1446,8739,1194,2940,9415,9071,5485,778,11284,14221,61507,597462,26514,570971,507634,38648,1200,6771,701,1616,4238,6847,2639,689,8731,9407,43583
5,750276,55693,694625,527392,132055,1319,5335,1242,3335,11403,7661,3562,1203,10191,8897,144644,569676,30200,539458,420308,97113,996,4243,831,2160,4841,5932,2055,936,7871,6281,102903
6,760429,41019,719394,643567,38062,1435,10740,1204,2587,10461,6154,4416,821,8407,15155,49330,583402,26079,557330,506753,27022,1121,8069,777,1461,4189,4797,2339,832,6748,10407,32013
7,768855,42940,725910,671006,13803,3014,8480,1406,2509,8615,12411,4145,526,15952,12625,22944,592270,24577,567685,531022,10069,2296,6018,515,1422,3800,9611,2557,378,12286,8575,14247
8,765856,18412,747450,688159,28425,1364,4294,182,1336,7575,13190,2713,205,14760,7017,36226,591790,11201,580621,539941,20641,1104,3195,190,824,3170,9817,1542,198,11119,4744,24016
